geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00001_0010	41.212425	45.599892	44.649197	42.727325	42.644344	48.388672
kfl00001_0030	82.380035	93.015427	84.109001	92.160049	91.596054	97.372528
kfl00001_0040	0	0	0	0	0	0
kfl00001_0050	0	0	0	0	0	0
kfl00001_0055	43.8913	46.560257	49.476002	34.550121	36.085732	40.66811
kfl00001_0060	148.935654	165.523788	159.560272	163.338089	135.928864	162.013565
kfl00001_0070	15.775344	20.637613	15.251902	18.389626	17.693792	22.369114
kfl00001_0080	22.217539	14.430151	14.373109	15.995533	13.934114	17.409882
kfl00001_0090	5.170099	5.876128	7.856133	5.353862	6.824892	5.853294
kfl00001_0100	0	0	0	0.138644	0	0
kfl00001_0110	1.010451	1.663566	2.888029	1.781486	2.344118	2.520739
kfl00001_0120	152.218216	167.211563	170.735107	289.045319	294.352081	306.837006
kfl00001_0130	0.385228	0	0	0	0	0
kfl00001_0140	22.833408	26.031096	24.405548	21.573887	21.102089	25.16416
kfl00001_0150	0.464093	0.500847	0	0	0	0
kfl00001_0160	11.162353	10.724279	10.468008	4.127268	5.31856	4.03781
kfl00001_0170	10.992686	11.073545	12.147581	11.182448	12.307686	12.116188
kfl00001_0180	59.932037	69.432785	64.764496	47.831558	55.4702	53.080444
kfl00001_0190	8.054447	7.306575	7.747363	8.892474	9.929004	9.133865
kfl00001_0200	169.195084	212.772919	197.462479	173.2052	164.403519	167.607178
kfl00001_0210	13.088079	10.6584	13.084386	3.981725	3.555726	3.382549
kfl00001_0220	30.846924	20.504297	30.174047	18.75812	15.042734	15.545382
kfl00001_0230	6.553607	6.406178	5.331647	5.985679	6.753808	6.492167
kfl00001_0240	79.114342	77.63269	69.302223	70.18531	70.060776	74.91748
kfl00001_0250	23.24404	20.466469	22.510668	22.133707	18.170225	20.521776
kfl00001_0260	12.397303	14.700514	11.70217	11.428511	11.287415	15.724072
kfl00001_0270	6.874935	7.669659	5.559878	7.003786	7.543236	5.875076
kfl00001_0280	10.564914	11.302361	10.296074	7.798471	9.263264	5.785806
kfl00001_0290	21.670309	22.234591	24.908957	22.870972	19.462711	18.376209
kfl00001_0300	16.86062	15.034689	15.270172	20.443758	21.688841	22.992729
kfl00001_0310	0	0	0	0	0	0
kfl00001_0320	91.897041	47.749084	72.330917	77.214272	114.282845	106.790169
kfl00001_0330	10.582668	9.246622	12.382533	10.815407	10.122208	10.398657
kfl00001_0340	41.231796	37.048573	33.14349	35.737423	33.565136	33.830589
kfl00001_0350	16.718866	15.712133	16.299995	11.18821	13.951101	13.721853
kfl00001_0360	18.915911	19.181591	19.656584	19.06226	18.040424	20.94915
kfl00001_0370	22.143501	16.905584	19.417292	17.550049	17.998537	19.317356
kfl00001_0380	17.254894	17.821402	19.919893	16.413282	17.237595	17.797779
kfl00001_0390	11.804766	10.093843	12.023717	10.796814	10.739246	10.04962
