geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00058_0200	23.914068	22.44828	20.613277	17.437557	17.490488	19.519518
kfl00058_0210	8.837946	9.591076	8.1281	6.687832	5.486583	8.418529
kfl00058_0220	11.276633	10.324493	10.058876	7.195755	7.694502	7.691345
kfl00058_0230	11.56506	13.914378	12.419845	12.35886	12.444175	13.383937
kfl00058_0240	0.213735	0.628635	0.421568	0.542777	0.468771	0.598004
kfl00058_0250	0	0	0	0	0	0
kfl00058_0260	0	0	0	0	0	0
kfl00058_0280	59.043602	57.342278	68.545898	55.328388	46.131271	51.235001
kfl00058_0290	18.686277	18.861259	18.658436	13.160996	11.649933	12.120621
kfl00058_0300	39.19976	41.295597	38.534443	60.438755	65.991943	60.59013
kfl00058_0310	70.857628	81.094673	87.983017	72.52253	71.923851	69.011002
kfl00058_0320	11.376764	11.280988	11.076387	9.462457	9.105536	9.441435
kfl00058_0330	24.948662	20.919403	23.986752	20.423702	21.180395	20.763458
kfl00058_0340	13.984412	14.446247	14.355899	10.411455	10.424538	9.319496
kfl00058_0350	200.161087	195.706802	200.65834	125.291328	122.80294	110.489044
kfl00058_0355	0	0	0	0	0	0
kfl00058_0360	0	0	0	0	0	0
kfl00058_0370	0.00044	7.7e-05	0.000442	8.7e-05	4.2e-05	4.7e-05
kfl00058_0380	23.072186	18.893099	21.303675	15.105431	14.963246	13.537193
kfl00058_0390	0	0	0	0	0	0
kfl00058_0395	0	0	0	0	0	0
kfl00058_0400	0	0	0	0	0	0
kfl00058_0410	0	0	0	0	0	0
kfl00058_g13	1.506917	0.18912	1.345628	0.619024	1.918385	0.48371
kfl00058_g44	0.582726	0.726587	0.86759	0.305232	0.69053	0.381706
kfl00059_0010	9.327787	11.184321	10.794502	8.717338	8.645622	6.571038
kfl00059_0020	44.61668	46.331699	53.682362	54.258175	53.730267	55.273846
kfl00059_0030	16.250494	16.632526	15.178158	13.607831	16.066969	12.715619
kfl00059_0040	13.631269	14.721611	15.594536	8.919499	9.058934	10.001746
kfl00059_0050	8.682563	8.494494	7.268825	7.755588	8.62005	10.235497
kfl00059_0060	0	0	0	0	0	0
kfl00059_0070	0.086476	0.113017	0.037649	0.042714	0	0.127484
kfl00059_0090	11.627851	13.753971	13.424216	12.826345	14.954708	14.078157
kfl00059_0100	41.996826	43.19146	39.572025	39.64196	45.454041	41.451271
kfl00059_0110	53.176617	54.052162	60.164867	55.357101	53.23991	54.670849
kfl00059_0120	13.761297	14.286345	16.215305	17.604548	13.954173	14.879432
kfl00059_0130	5.807232	5.096838	5.854425	4.120022	4.230726	4.37612
kfl00059_0140	3.249865	5.230803	3.543759	3.632506	3.658622	4.680107
kfl00059_0150	142.595474	76.86544	72.125099	14.665113	20.214336	24.381296
kfl00059_0160	16.377283	17.850889	17.822475	13.647209	14.822212	15.148176
kfl00059_0170	128.350372	134.616989	144.950195	127.480469	107.931801	111.00531
kfl00059_0180	15.94211	15.245256	14.624181	18.087139	17.882578	15.062664
kfl00059_0190	159.619339	165.971237	175.718643	123.798454	131.825928	115.75219
kfl00059_0200	13.880805	17.663263	15.663324	22.864849	24.777599	24.34812
kfl00059_0210	18.833107	20.396248	20.136473	28.509804	27.075893	31.450584
kfl00059_0220	1.482582	1.275206	1.512678	1.113672	1.312983	2.049503
kfl00059_0230	5.491385	7.823566	6.086864	4.934834	4.89877	6.73238
kfl00059_0240	8.638842	8.115387	8.39207	7.509351	7.998068	8.090565
kfl00059_0250	24.045317	25.762302	25.413534	27.334913	27.162239	30.847559
kfl00059_0260	12.822306	10.894054	11.097642	10.710921	11.052587	8.927726
kfl00059_0270	0	0	0	0	0	0
kfl00059_0280	623.130493	615.133667	639.575562	622.450623	545.187805	570.540405
kfl00059_0290	0	0	0	0.212024	0	0.272532
kfl00059_0300	0	0	0	0	0	0
kfl00059_0310	0	0	0	0	0	0
kfl00059_0320	18.736357	20.070377	19.483749	13.263055	11.348718	11.897067
kfl00059_0330	13.7271	15.54733	14.145345	11.469201	12.529428	10.999418
kfl00059_0340	86.676666	87.932159	86.442055	35.093212	32.787155	32.611076
kfl00059_0350	2.634982	1.816429	2.16054	1.820264	1.132529	0.964034
kfl00059_0360	29.911285	33.563633	30.043848	42.434135	42.694431	43.635014
kfl00059_g26	0	0.133624	0.186214	0	0	0
kfl00059_g30	0	0	0	0	0	0
kfl00059_g4	5.707616	7.502708	6.607911	2.241981	3.019568	2.876838
kfl00060_0010	9.194231	11.039871	10.755105	13.256469	13.0542	11.841679
kfl00060_0020	57.793339	61.867233	56.187561	62.067253	63.442108	61.153084
kfl00060_0030	23.350853	22.40432	20.065105	25.721649	24.344938	27.017862
