geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00001_0010	43.265327	44.390453	43.890026	42.748497	42.676529	47.008015
kfl00001_0030	84.146614	88.508759	88.142097	91.156036	93.698967	96.696251
kfl00001_0040	0	0	0	0	0	0
kfl00001_0050	0	0	0	0	0	0
kfl00001_0055	44.546585	44.62648	52.283398	37.984653	34.768196	40.241405
kfl00001_0060	148.28067	161.728821	160.281631	164.702087	138.901321	156.714264
kfl00001_0070	15.307668	19.454901	16.210037	18.332209	18.365646	21.679317
kfl00001_0080	20.892706	16.485329	14.377235	14.178484	13.487373	14.93188
kfl00001_0090	5.590454	6.152577	6.490559	5.611344	5.943403	5.570695
kfl00001_0100	0	0	0	0.046234	0.046144	0
kfl00001_0110	1.251374	1.800445	2.563385	1.404471	2.476454	2.154223
kfl00001_0120	162.810883	172.308899	166.501343	283.389069	287.847107	305.912262
kfl00001_0130	0.513369	0.206814	0.161285	0.160743	0	0.096721
kfl00001_0140	22.799911	23.566341	23.94009	21.583605	20.292461	22.322969
kfl00001_0150	0.323032	0.356068	0.184799	0	0	0
kfl00001_0160	10.634914	10.797574	10.782753	3.357784	4.590115	4.3715
kfl00001_0170	11.491696	11.612628	14.399825	11.255301	12.383492	11.730604
kfl00001_0180	59.803776	64.836159	65.396553	49.461555	54.247646	53.706093
kfl00001_0190	8.243997	8.106627	8.913064	8.513762	9.296502	10.09038
kfl00001_0200	172.912628	208.632401	194.834061	172.940231	163.065506	166.877411
kfl00001_0210	13.602699	11.790762	11.353316	3.611382	3.571327	4.010136
kfl00001_0220	27.078421	22.607883	28.91868	18.71632	14.90496	15.439648
kfl00001_0230	6.00774	6.241961	5.901037	5.869458	6.546244	6.008357
kfl00001_0240	77.664413	74.509499	70.774734	64.11319	63.995682	72.190163
kfl00001_0250	22.935612	20.817873	22.67384	22.704809	18.246187	20.978361
kfl00001_0260	12.725574	13.237922	13.61836	13.291799	11.977073	14.703076
kfl00001_0270	7.179733	7.04657	5.961712	6.515378	7.685833	6.982133
kfl00001_0280	9.716955	10.36779	10.576015	8.483376	7.925935	6.951173
kfl00001_0290	20.903442	21.837084	25.415495	21.409801	21.382013	19.315432
kfl00001_0300	15.843269	13.831408	14.374318	21.140594	21.2764	23.181101
kfl00001_0310	0	0	0	0	0	0
kfl00001_0320	95.446877	48.818459	78.274841	79.057022	108.720589	110.073029
kfl00001_0330	10.941208	10.401106	11.309209	9.942928	10.356121	10.30882
kfl00001_0340	41.194313	36.413464	35.978943	37.360977	34.857723	34.461964
kfl00001_0350	16.632257	16.212986	16.249655	12.562746	13.043722	14.111687
kfl00001_0360	19.612343	18.038382	19.926888	18.713724	18.41828	19.080307
kfl00001_0370	21.749767	17.890352	19.238497	19.961462	17.195408	19.607231
kfl00001_0380	17.101772	17.960882	18.069046	16.912876	16.92837	16.974991
kfl00001_0390	11.305916	10.422222	11.348629	12.395402	10.358409	10.997329
kfl00001_0400	7.473156	7.182805	7.868362	10.067397	7.529801	8.591408
kfl00001_0410	6.14771	5.713055	7.39547	5.886881	5.1764	5.355767
kfl00001_0420	48.907669	44.908649	53.104198	46.090725	45.391449	42.175125
kfl00001_0430	5.609451	5.85476	5.009953	6.542077	6.727734	7.097098
kfl00001_0440	14.502352	19.469278	17.073687	17.769215	17.041826	15.377923
kfl00001_0450	14.078211	13.834364	13.687208	14.618937	13.109387	13.653026
kfl00001_0460	6.796333	7.119598	6.18756	6.55277	6.787503	7.18991
kfl00001_0470	31.322014	26.546125	28.957409	22.986389	24.323055	19.680286
kfl00001_0480	22.307913	21.363564	20.77858	11.869351	12.098971	11.018144
kfl00001_0490	12.213004	10.619282	13.490093	12.268072	13.407537	11.579024
kfl00001_0500	15.469028	13.334929	10.924075	17.883556	20.771404	19.955793
kfl00001_0510	8.939652	11.187057	12.483278	6.087554	9.346745	8.270171
kfl00001_0520	21.180084	21.826921	18.579865	15.568281	16.353422	19.079561
kfl00001_0530	0	0	0	0	0	0
kfl00001_0540	0	0	0	0	0	0
kfl00001_0550	11.090631	10.800234	9.577106	7.45352	7.430982	6.145795
kfl00001_0560	25.334238	28.056898	27.546606	24.059723	19.278364	20.311419
kfl00001_0570	1.178846	1.273467	1.190407	1.103075	1.160251	1.198475
kfl00001_0580	32.167812	30.40811	34.55761	30.855967	30.978216	28.454948
kfl00001_0590	15.799948	12.271449	11.685702	12.426128	13.018126	12.039903
kfl00001_0600	12.566817	10.326549	10.30932	9.456558	8.988509	11.974783
kfl00001_0610	24.307655	23.641684	23.391275	23.092222	23.745344	22.814222
kfl00001_0620	395.010437	431.669128	417.320282	428.850067	402.643829	395.033722
kfl00001_0630	0	0	0	0	0	0
kfl00001_0640	8.125575	8.408092	7.473629	7.074655	7.115702	7.701865
kfl00001_0650	39.747742	43.390751	45.119339	49.688347	39.944016	44.898861
kfl00001_0660	21.550653	23.726801	20.882473	22.82572	22.672693	21.694777
kfl00001_0670	13.895983	14.905637	14.041906	17.096489	18.152744	18.874659
kfl00001_0680	0	0	0	0	0	0
kfl00001_0690	4.114725	3.283391	3.821226	1.720681	2.167301	1.597885
kfl00001_0700	4.206524	4.217467	3.900625	3.332921	3.212506	3.842674
kfl00001_0710	43.907974	44.85957	43.244759	36.810413	41.364311	38.505657
kfl00001_0720	8.626727	8.989991	9.480801	7.947281	9.015057	7.464855
kfl00001_0730	76.028137	69.13768	72.070923	42.448723	40.658665	42.242805
kfl00001_0740	73.496567	69.585213	78.90625	88.251015	78.83773	79.132156
kfl00001_0750	20.577534	20.865686	19.89608	19.297449	18.637966	19.234934
kfl00001_0760	4.240793	4.813708	4.151025	4.547528	4.652663	4.170861
kfl00001_0770	35.350288	32.737484	36.66769	44.988178	41.818081	41.024071
kfl00001_0780	5.781028	6.110971	7.44286	5.504045	5.852633	7.302732
kfl00001_0785	6.927317	6.865542	6.884039	6.04748	8.727826	7.552951
kfl00001_0790	1.548069	1.177505	1.136116	0.537875	0.530743	0.689308
kfl00001_0800	67.944901	70.936752	74.995773	66.51796	60.304482	59.666225
kfl00001_0810	50.476746	63.307915	68.680672	71.565613	86.848694	75.940399
kfl00001_0820	6.534735	5.780727	6.564578	5.390088	5.73276	6.015874
