geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00001_0010	42.255669	44.996983	44.468822	41.779739	43.334614	48.753529
kfl00001_0030	83.986229	89.043701	87.249489	92.929466	94.168488	97.382263
kfl00001_0040	0	0	0	0	0	0
kfl00001_0050	0	0	0	0	0	0
kfl00001_0055	43.975815	44.119812	50.517181	38.30719	36.501228	40.645531
kfl00001_0060	144.218262	166.880753	161.361343	166.785995	136.303558	155.57663
kfl00001_0070	14.548513	19.312735	16.057743	18.5236	17.841532	21.848375
kfl00001_0080	21.166	16.406879	14.063359	14.953727	13.209429	15.535653
kfl00001_0090	4.869936	6.094122	6.662313	5.47121	6.461867	5.792912
kfl00001_0100	0	0	0	0.069311	0	0
kfl00001_0110	1.27194	1.725917	2.582101	1.396974	2.626755	2.113686
kfl00001_0120	161.818161	171.744492	168.408875	288.270599	293.238617	306.864441
kfl00001_0130	0.480887	0	0.193455	0.192828	0	0.096687
kfl00001_0140	22.863914	25.50742	23.667822	22.291656	20.538296	22.536886
kfl00001_0150	0.400209	0.335068	0.19252	0	0	0
kfl00001_0160	10.925477	10.155068	10.812464	3.480607	4.861305	4.327642
kfl00001_0170	11.192364	11.694257	13.823441	11.329689	12.512993	11.973128
kfl00001_0180	60.102852	64.877701	65.033096	49.71727	53.234196	53.964672
kfl00001_0190	7.688781	7.754375	8.523738	8.684313	9.580594	9.679346
kfl00001_0200	171.365021	208.043884	195.180984	172.673981	164.11795	165.54744
kfl00001_0210	13.237528	11.673127	12.392486	3.652027	3.298822	3.854443
kfl00001_0220	27.527275	21.171459	30.669893	18.407221	14.13325	15.169998
kfl00001_0230	6.168673	6.467925	5.862904	6.107879	6.849404	5.613314
kfl00001_0240	78.784004	76.023544	69.970886	66.517403	64.915627	72.866653
kfl00001_0250	23.169483	20.768478	21.736427	22.114504	17.847363	22.370047
kfl00001_0260	13.208166	13.069529	12.939713	13.199907	11.661421	14.40827
kfl00001_0270	7.02849	7.490044	5.905989	6.566332	7.828066	6.523196
kfl00001_0280	10.018924	10.624042	10.455251	8.702642	7.990676	6.526598
kfl00001_0290	20.194332	21.652386	25.451828	20.61816	20.970432	18.489014
kfl00001_0300	16.093515	14.688054	14.321901	20.262026	21.798946	23.065853
kfl00001_0310	0	0	0	0	0	0
kfl00001_0320	98.542427	51.258717	77.324539	78.795776	109.852165	104.337601
kfl00001_0330	10.173846	9.904352	11.075323	10.048266	10.145395	10.596117
kfl00001_0340	41.199142	35.207542	34.881626	38.095226	35.85664	34.115688
kfl00001_0350	17.454006	16.530552	15.616827	12.203697	13.021831	13.763293
kfl00001_0360	19.358173	17.657043	19.975107	18.982162	18.209814	18.865541
kfl00001_0370	22.150951	16.56493	21.113691	18.52845	16.483589	19.291185
kfl00001_0380	16.271122	18.277428	18.870216	16.194963	16.49057	17.055601
kfl00001_0390	11.316031	10.198049	12.414889	12.563931	9.646963	10.306763
kfl00001_0400	7.751181	7.647108	7.379065	11.357842	8.147167	8.109462
kfl00001_0410	6.337303	6.143337	7.056635	5.992464	5.371573	5.388134
kfl00001_0420	49.971352	44.635044	53.542488	46.62825	44.773464	43.492706
kfl00001_0430	5.865236	5.732898	4.956217	6.922128	7.167737	7.252924
kfl00001_0440	15.699677	19.519197	16.328505	17.982162	17.811802	15.952518
kfl00001_0450	14.558452	12.619132	13.057033	14.600404	13.680995	14.250778
kfl00001_0460	6.556156	7.577919	5.798026	6.320562	7.37534	7.412741
kfl00001_0470	31.848598	26.432407	27.348925	21.936962	24.394028	19.864473
kfl00001_0480	22.534786	22.121775	20.628996	11.412083	12.198038	11.190655
kfl00001_0490	11.971125	9.910247	13.542194	12.08742	13.703876	11.215099
kfl00001_0500	14.431154	12.384405	10.932078	18.331724	21.819078	19.134962
kfl00001_0510	9.096122	11.414033	12.434836	6.129512	10.229263	7.961002
kfl00001_0520	21.074764	21.118603	18.476965	16.012936	15.830024	18.770416
kfl00001_0530	0	0	0	0	0	0
kfl00001_0540	0	0	0	0	0	0
kfl00001_0550	10.603188	8.726016	11.016597	7.509699	6.63625	6.473822
kfl00001_0560	25.970198	28.580137	28.244192	24.721876	19.191113	20.910273
kfl00001_0570	1.09128	1.144171	1.277372	1.325385	1.199611	1.363955
kfl00001_0580	30.922029	30.684307	33.954937	31.272192	31.590303	27.809666
kfl00001_0590	15.760473	12.250267	11.588383	13.084398	13.420897	11.627464
kfl00001_0600	11.379601	10.134321	10.734783	8.683751	8.774332	12.489072
kfl00001_0610	22.654825	23.608692	23.288216	24.09568	23.903709	22.403782
kfl00001_0620	395.929077	429.855164	415.234772	424.348633	399.834229	387.386993
kfl00001_0630	0	0	0	0	0	0
kfl00001_0640	8.590002	8.745806	7.690144	7.224876	7.194187	7.248939
kfl00001_0650	40.580101	43.156513	43.571117	46.171013	40.193184	43.750378
kfl00001_0660	21.076212	24.73703	20.714968	22.723259	21.715425	20.622568
kfl00001_0670	14.159639	15.318338	13.471044	16.66234	18.913513	19.086134
kfl00001_0680	0	0	0	0	0	0
kfl00001_0690	4.259495	2.91002	3.879588	1.529427	2.069771	1.503084
kfl00001_0700	4.010153	3.619605	3.900359	3.369156	3.044719	3.872117
kfl00001_0710	43.942642	44.894714	43.255581	36.547386	41.263618	37.839237
kfl00001_0720	9.111105	8.485301	9.079021	7.357621	8.957174	7.734033
kfl00001_0730	76.322594	69.131195	71.679558	40.725212	42.403362	42.440292
kfl00001_0740	73.514969	67.476753	79.771957	88.276161	80.809509	79.236092
