geneID	control_1	control_2	control_3	OPDA_1	OPDA_2	OPDA_3
kfl00045_0030	15.850554	17.369091	16.757685	17.122454	19.845964	19.276232
kfl00045_0040	67.375893	68.414619	75.506241	64.179436	66.075798	66.69603
kfl00045_0050	234.907104	265.649933	271.648804	264.711792	278.995819	256.464478
kfl00045_0060	0	0	0	0	0	0
kfl00045_0065	0	0	0	0	0	0
kfl00045_0070	20.16674	23.611757	21.048161	30.065046	30.045183	27.629604
kfl00045_0080	20.224159	23.553928	22.548843	18.428404	18.684183	16.965616
kfl00045_0090	3.005737	3.201107	2.792564	2.167085	2.837329	3.484015
kfl00045_0100	0	0.52372	1.202016	2.057262	3.181831	2.523874
kfl00045_0110	10.023374	9.544802	9.066175	8.163336	8.621043	8.124191
kfl00045_0120	23.857302	21.876083	23.610453	20.212091	17.975958	20.5119
kfl00045_0130	20.840191	19.091835	21.115864	22.2075	20.727707	23.465113
kfl00045_0140	21.3088	22.826992	21.927876	28.013739	26.085293	30.457462
kfl00045_0150	40.79995	39.650295	39.546188	47.763222	39.060158	44.442547
kfl00045_0160	0.271277	0.311425	0.44366	0.269443	0.285102	0.239916
kfl00045_0170	54.954922	53.103065	58.044567	71.666626	67.261307	69.724457
kfl00045_0180	26.18202	27.097271	26.299076	29.124908	32.150299	27.697693
kfl00045_0190	28.418774	23.748793	24.319771	8.744081	7.68562	7.983792
kfl00045_0200	8.464487	8.034912	6.873488	1.941276	1.930139	1.850834
kfl00045_0210	14.836536	13.800423	12.195733	8.831076	6.823391	7.219152
kfl00045_0220	0	0	0	0	0	0
kfl00045_0230	34.089859	29.153957	29.244589	24.610407	24.897556	23.28915
kfl00045_0240	10.111246	12.171935	10.110423	12.26714	12.568756	12.215329
kfl00045_0250	0	0	0	0	0	0
kfl00045_0260	0	0	0	0	0	0
kfl00045_0270	21.241161	17.893764	20.410383	16.393528	15.951225	18.026045
kfl00045_0280	22.60128	22.185036	21.684151	18.716415	18.574411	18.015928
kfl00045_0290	20.521868	21.239973	22.522192	20.058624	23.635132	25.201046
kfl00045_0300	0	0	0	0	0	0
kfl00045_0310	17.974985	16.367985	19.014	18.979336	19.832294	21.755333
kfl00045_0320	5.015665	4.10384	3.827031	4.412124	5.792756	4.918534
kfl00045_0340	0	0	0	0	0	0
kfl00045_0350	8.735051	10.405693	9.403963	5.270612	4.947194	4.748476
kfl00045_0360	9.298067	12.31714	12.642058	6.044947	5.180497	5.760329
kfl00045_0370	0.287475	0	0	0.24477	0.143167	0.465534
kfl00045_0380	22.384153	24.519215	24.159563	27.065725	27.048368	26.527798
kfl00045_0390	53.53101	50.109703	51.573303	56.065136	55.881741	63.281971
kfl00045_0400	5.9751	8.825713	9.34779	4.037219	4.403657	5.638572
kfl00045_0410	4.485367	5.240748	5.493831	3.931637	4.590151	4.436452
kfl00045_0420	11.646129	12.114523	12.067787	11.741191	11.633621	12.810833
kfl00045_0430	54.88932	55.965336	49.748623	53.91563	61.180923	54.014263
kfl00045_0440	18.802862	20.826021	21.590105	23.063522	19.702974	22.40892
kfl00045_g24	0	0	0	0	0	0
kfl00045_g26	0	0	0.179874	0	0	0.31587
kfl00045_g28	0	0	0	0	0	0
kfl00045_g48	0	0.114164	0	0.072698	0.048599	0.024955
kfl00045_g6	0	0	0	0	0	0
kfl00046_0010	5.340333	4.964265	5.079733	1.99706	2.352598	1.9887
kfl00046_0020	10.951271	8.136045	8.401073	11.68358	14.148417	10.813538
kfl00046_0030	0	0	0	0	0	0
kfl00046_0035	0	0	0	0	0	0
kfl00046_0040	8.471596	9.919681	8.726861	8.188242	8.050976	7.668267
kfl00046_0045	0.275828	0.817618	1.624596	1.276311	1.358352	1.113569
kfl00046_0050	12.068014	10.984383	8.669913	8.85749	8.935763	9.350268
kfl00046_0060	91.58783	73.052467	72.555618	76.514107	58.174824	60.682922
kfl00046_0070	33.969299	34.084415	31.023165	32.136936	36.826057	37.348618
kfl00046_0080	0	0	0	0	0	0
kfl00046_0085	0	0	0	0	0	0
kfl00046_0090	0	0	0	0	0	0
kfl00046_0100	9.862306	14.781144	14.65085	6.642349	11.965151	8.29835
kfl00046_0110	13.140899	12.824526	11.868775	10.637599	11.108377	11.241247
kfl00046_0130	10.45055	9.193534	8.468301	5.697861	6.579071	8.327589
kfl00046_0140	164.186447	126.81871	109.480995	73.522484	53.313366	57.670036
kfl00046_0150	174.525711	125.738289	125.684273	190.399155	192.220169	209.240311
kfl00046_0160	25.350765	22.696371	25.65646	33.233498	40.668098	33.695915
kfl00046_0170	0	0	0	0	0	0
kfl00046_0180	5.053037	3.847195	4.134473	6.728201	6.638125	5.997817
kfl00046_0190	25.786982	22.932014	24.73642	23.321156	23.514004	20.571941
kfl00046_0200	20.009235	22.781828	21.538004	17.543556	16.680344	17.017401
kfl00046_0210	35.913132	37.278908	38.057335	28.432224	29.406776	23.945993
kfl00046_0220	4.692474	3.845262	4.354896	1.557414	1.729201	2.379276
kfl00046_0230	4.71823	3.943532	5.354892	2.636178	1.971345	2.039933
kfl00046_0240	17.89723	18.980555	20.281982	15.783973	16.1042	16.60931
kfl00046_0250	1930.178223	2112.193848	2034.23999	2018.905029	1969.051758	1885.158203
kfl00046_0260	9.432749	10.307389	10.769855	8.999047	9.651481	9.022885
kfl00046_0270	8.769592	8.070507	8.131577	5.57818	5.412727	6.466959
kfl00046_0280	0	0	0.135255	0	0.118224	0
kfl00046_0290	50.59853	50.876049	50.707012	37.877487	36.98476	39.625824
kfl00046_0300	39.986195	42.098328	42.519333	24.456181	27.263683	26.032745
kfl00046_0310	44.832035	43.400265	48.581387	38.521351	40.05405	38.5989
kfl00046_0320	17.07663	15.267357	17.061756	15.447915	13.996918	15.771648
kfl00046_0330	29.244497	29.161516	27.315725	25.001883	25.467361	22.940273
kfl00046_0340	0	0	0	0	0	0
kfl00046_0350	0	0.239007	0	0.422986	0	0.736676
kfl00046_0355	0	0	0	0	0	0
kfl00046_0360	0.086126	0.028453	0	0	0	0.114265
kfl00046_g16	4.254975	6.828178	3.872332	4.320871	5.379459	4.927417
kfl00046_g17	8.037838	6.0617	5.014415	4.555862	4.637499	4.852021
kfl00046_g2	0.033741	0.024756	0.018054	0.015991	0.043265	0.004574
kfl00046_g43	0	0	0	0	0	0
kfl00047_0010	14.823547	14.19908	13.479154	12.674417	13.105446	12.759226
kfl00047_0020	11.371381	9.429978	8.769794	9.770738	8.650552	8.296454
kfl00047_0030	43.802689	49.749889	50.338303	56.817783	55.233829	53.327141
kfl00047_0040	0	0	0	0	0	0
kfl00047_0050	0	0	0	0	0	0
kfl00047_0060	50.226868	48.312916	49.390762	67.561096	71.121368	59.845089
kfl00047_0070	45.174126	39.178207	43.928356	234.595016	238.361496	234.924957
kfl00047_0080	1.804238	4.844492	4.377989	3.990748	5.867787	7.60774
kfl00047_0090	30.615852	32.27026	29.498575	31.950148	29.136517	34.556961
kfl00047_0100	67.852669	75.843132	76.899818	65.314789	63.375202	65.766724
kfl00047_0110	6.565101	7.837249	7.038434	3.018816	3.306537	3.262479
kfl00047_0120	80.528435	88.043724	96.153885	69.120117	80.313171	56.695877
kfl00047_0130	86.34214	83.965591	86.860214	43.20813	53.365208	47.474564
kfl00047_0140	1.137383	1.143829	0.809815	0.466739	0.53799	0.556566
kfl00047_0150	2.087745	1.515341	1.81483	0.922526	0.555505	0.898833
kfl00047_0160	29.839386	31.985884	30.813572	35.798283	31.043015	32.792767
kfl00047_0170	0	0	0	0	0	0
kfl00047_0180	0	0	0	0	0	0
kfl00047_0185	0	0	0	0	0	0
kfl00047_0190	15.041929	16.649971	14.916177	16.213976	17.096334	18.468323
kfl00047_0200	45.603542	41.956249	41.676674	36.093277	34.802803	40.727837
kfl00047_0210	28.159924	29.741335	33.968052	33.187244	33.102722	35.832619
kfl00047_0220	36.356163	35.976379	33.23531	25.239603	22.070515	24.550762
kfl00047_0230	9.487585	9.607122	9.177925	12.103821	12.252837	11.524919
kfl00047_0240	0	0	0	0	0	0
kfl00047_0250	0	0	0	0	0	0
kfl00047_0260	18.738878	19.114027	19.343594	16.015232	17.523979	16.753368
kfl00047_0270	5.399197	5.334032	5.625153	3.775566	4.2284	3.913752
kfl00047_0280	21.074186	25.098303	23.631872	16.375488	16.688686	15.809186
kfl00047_0290	0.045385	0.052608	0.097946	0.147664	0	0
kfl00047_0300	110.885696	109.566986	117.854202	77.5131	77.03582	58.206795
kfl00047_0310	4.799918	5.329402	5.068455	1.575953	2.830929	2.764225
kfl00047_g10	0	0	0	0	0	0
kfl00047_g3	9.309421	7.127334	10.204523	8.963856	9.151671	7.267091
kfl00047_g35	0.000146	0.000366	0.00157	0.000463	0	0.000267
kfl00048_0010	0	0	0	0	0	0
kfl00048_0020	0	0	0	0	0	0
kfl00048_0025	0	0	0	0	0	0
kfl00048_0030	0	0	0	0	0	0
kfl00048_0040	101.344032	85.043839	87.912247	105.131607	97.375557	81.618286
kfl00048_0050	9.630608	9.14724	8.0806	10.735189	11.664271	10.147233
kfl00048_0060	24.525402	25.239197	27.521793	27.154367	27.292936	24.823811
kfl00048_0070	7.74509	8.624663	9.504487	6.218002	6.676761	5.253081
kfl00048_0080	5.109567	3.544333	4.450765	4.077851	4.667943	4.11719
kfl00048_0090	28.546352	28.928862	32.004192	37.373772	38.013397	42.860615
kfl00048_0100	3.431936	2.907008	3.363607	3.732687	3.957618	3.543442
kfl00048_0110	5.157689	4.678029	4.696381	4.389739	4.270987	4.281654
kfl00048_0120	3.989335	3.530994	4.225885	3.670859	3.574702	3.093168
kfl00048_0130	30.08202	31.216438	35.909943	31.204437	33.217506	33.814011
kfl00048_0140	34.658161	27.799089	28.481627	22.080626	22.313679	23.411442
kfl00048_0150	66.961487	62.700096	63.938606	47.665581	42.759975	41.273869
kfl00048_0160	44.539913	49.612312	47.776691	51.462029	48.843784	49.751881
kfl00048_0170	8.013382	9.871088	8.417475	8.382123	8.240656	8.655928
kfl00048_0180	19.823452	19.755312	21.160597	21.265087	21.560499	19.496103
kfl00048_0190	13.293399	14.064242	13.780719	9.037571	9.050986	7.310906
kfl00048_0200	40.722309	39.178097	37.759678	23.155344	22.787426	20.598148
kfl00048_0210	15.077961	13.629884	11.152322	11.151745	10.600893	10.049618
kfl00048_0220	35.807117	44.914558	36.745422	38.129173	28.35013	41.031246
kfl00048_0230	30.572786	29.246664	30.121561	17.83963	18.344969	16.662346
kfl00048_0240	22.707537	25.404648	27.91424	23.280106	20.961914	24.575293
kfl00048_0250	21.476004	14.990026	17.993689	8.41776	8.457334	6.635977
kfl00048_0260	137.657318	125.160927	116.863304	70.805992	71.388519	71.035439
kfl00048_0270	16.983315	22.654186	27.732212	17.174759	25.236303	19.51119
kfl00048_0280	7.041765	7.089973	7.846863	12.6534	15.489465	15.157047
kfl00048_0290	6.389796	5.795472	6.737667	7.23289	8.241468	7.504687
kfl00048_0300	11.185003	11.714943	9.897326	12.075499	11.655729	11.792703
kfl00048_0310	11.408849	12.633978	11.292679	12.40049	12.270369	12.992796
kfl00048_0320	10.221983	10.051789	11.358607	10.213094	11.017172	11.527121
kfl00048_0330	0	0	0	0	0	0
kfl00048_0340	0	0	0	0	0	0
kfl00048_0350	12.522549	11.351831	13.163213	13.499956	13.342424	10.537917
kfl00048_0360	11.393606	11.719804	13.390808	9.259619	7.590053	9.694093
kfl00048_0370	1.607127	2.280965	2.61323	2.721522	2.03782	2.454689
kfl00048_0380	9.067589	7.920726	7.71291	8.78651	9.034758	7.882779
kfl00048_0390	0	0	0	0	0	0
kfl00048_0400	60.427689	59.146858	63.992832	44.794353	40.613724	39.020363
kfl00048_0410	54.111237	57.522701	57.334316	58.539185	58.49884	58.457535
kfl00048_0420	51.732025	48.409294	51.144524	45.745068	55.25753	46.754189
kfl00048_0430	0.55368	0.205779	0.73144	0.24196	0.476155	0.384535
kfl00048_0440	2.442067	2.080856	3.166046	1.451853	1.616617	2.032779
kfl00048_0450	42.331104	45.011974	39.815792	34.556999	34.558311	35.233559
kfl00048_0460	516.188477	458.74942	440.448334	195.619705	145.839966	190.562164
kfl00048_0470	10.912969	9.420646	10.959802	10.551268	9.984213	9.605067
kfl00048_0480	182.991898	202.480957	205.136719	204.483017	201.567749	188.557083
kfl00048_0490	17.781818	19.92061	20.372593	13.169747	13.84719	13.02568
kfl00048_0500	0	0	0	0	0	0
kfl00048_g25	0	0	0	0.145084	0	0
kfl00048_g5	0	0	0	0	0	0
kfl00048_g7	93.917816	99.097687	125.857948	143.114471	146.638168	140.51976
kfl00049_0010	3.848993	3.390486	3.746852	8.84559	8.324563	8.125338
kfl00049_0020	55.140743	40.703484	41.011757	135.887604	143.975159	122.92424
kfl00049_0025	102.733093	85.392502	91.6241	295.7724	307.166565	276.576752
kfl00049_0030	241.272247	265.015167	268.005554	375.626617	325.929718	330.260498
kfl00049_0040	0	0	0	0	0	0
kfl00049_0050	9.929309	8.927607	9.085154	7.711359	8.859535	8.757006
kfl00049_0060	43.281136	38.086689	41.759857	26.427471	21.625221	27.056808
kfl00049_0070	109.341652	98.498451	82.783592	25.354845	21.288532	42.130508
kfl00049_0080	8.038061	9.231508	9.296032	6.052703	6.715213	6.16774
