geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	14.940463	13.276833	9.326437	12.513327
kfl00001_0030	90.757553	84.38427	88.679916	98.646637
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	32.553593	22.098576	18.933977	14.359557
kfl00001_0060	216.088715	220.305145	154.57991	157.09201
kfl00001_0070	13.353637	13.561209	19.887115	19.347609
kfl00001_0080	20.112072	21.290764	14.3423	15.03742
kfl00001_0090	3.506383	7.842806	4.546418	6.995298
kfl00001_0100	0	0	0	0
kfl00001_0110	41.428635	37.0835	62.136299	62.293221
kfl00001_0120	163.352478	178.759888	141.499359	173.465363
kfl00001_0130	15.403841	12.410933	8.327765	10.330101
kfl00001_0140	33.344387	25.393511	20.520615	23.705708
kfl00001_0150	0	0	0	0
kfl00001_0160	5.035231	5.821644	0.677463	0.986179
kfl00001_0170	5.692065	9.779923	2.13622	1.143859
kfl00001_0180	11.140337	9.113269	11.650035	15.735783
kfl00001_0190	16.758762	19.012638	7.649217	9.263767
kfl00001_0200	24.065775	21.325342	20.288712	17.460938
kfl00001_0210	9.514962	9.446708	1.669966	4.189666
kfl00001_0220	48.032646	31.809055	33.677097	31.072691
kfl00001_0230	5.594082	5.887222	6.581744	8.398663
kfl00001_0240	60.391773	62.888779	50.456985	45.740952
kfl00001_0250	12.531885	22.770607	6.908973	6.903731
kfl00001_0260	7.407423	10.480472	3.981471	4.83091
kfl00001_0270	3.350718	2.464301	3.269982	2.332577
kfl00001_0280	12.566059	14.115549	8.248239	6.414932
kfl00001_0290	17.121883	14.530169	12.511857	12.088878
kfl00001_0300	7.175389	8.421391	10.504285	7.829254
kfl00001_0310	0	0	0	0
kfl00001_0320	3481.623535	3302.055664	2228.750244	2350.649902
kfl00001_0330	8.259436	8.143946	3.106879	2.364917
kfl00001_0340	64.276192	59.387001	48.521645	58.134075
kfl00001_0350	8.256862	7.831955	9.727374	9.480615
kfl00001_0360	14.899194	12.297295	14.105343	22.493965
kfl00001_0370	15.406497	18.14995	7.788342	6.913633
kfl00001_0380	14.202363	13.924091	24.530333	31.224768
kfl00001_0390	13.581017	15.347047	7.264475	11.501903
kfl00001_0400	7.227098	4.271173	6.361946	8.782928
kfl00001_0410	6.71573	2.848206	0.685144	1.819239
kfl00001_0420	70.922417	57.932522	47.967941	55.548523
kfl00001_0430	3.788951	1.95337	4.270244	2.930593
kfl00001_0440	23.609152	23.245239	21.677406	16.045706
kfl00001_0450	30.467846	33.558105	19.507908	20.242088
kfl00001_0460	26.400414	24.958725	25.238989	27.185833
kfl00001_0470	31.44478	37.943607	16.448645	19.103456
kfl00001_0480	9.185876	11.057342	2.653923	3.981304
kfl00001_0490	13.523845	13.127714	5.464924	3.507707
kfl00001_0500	106.201744	96.103996	80.98172	84.232651
kfl00001_0510	5.016734	9.78318	14.665932	11.54391
kfl00001_0520	9.606242	9.410489	6.485648	8.669415
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	10.723873	15.667768	4.906105	7.554982
kfl00001_0560	13.996583	20.914993	7.706168	13.31547
kfl00001_0570	0.867881	0.96008	0.165911	0.356569
kfl00001_0580	12.066209	14.027053	17.972017	12.879656
kfl00001_0590	29.691492	21.718431	10.795298	11.71594
kfl00001_0600	8.422773	11.550729	2.993951	3.969249
kfl00001_0610	13.653383	15.623834	5.131499	8.181808
kfl00001_0620	1611.063232	1622.334961	1436.721069	1370.72876
kfl00001_0630	0	0	0	0
kfl00001_0640	2.540334	2.561419	3.180517	4.37089
kfl00001_0650	79.260384	68.534401	58.482098	52.574608
kfl00001_0660	14.395131	10.059004	11.35081	12.373157
kfl00001_0670	11.247219	9.222158	15.275358	17.657135
kfl00001_0680	0	0	0	0
kfl00001_0690	4.195077	3.653882	0	0
kfl00001_0700	1.335167	2.997624	0	1.016333
kfl00001_0710	13.602453	13.723874	10.673413	13.836631
kfl00001_0720	3.106033	2.455728	1.408265	0.957029
kfl00001_0730	49.591106	51.748402	43.341862	49.502018
kfl00001_0740	97.962601	87.86203	60.824039	46.758705
kfl00001_0750	17.263987	19.175795	10.746697	13.541546
kfl00001_0760	4.699032	3.507345	0.668555	1.40714
kfl00001_0770	118.85508	117.825691	83.113548	71.726883
kfl00001_0780	14.131858	10.174469	5.784996	9.147566
kfl00001_0785	2.223023	2.753863	3.880775	3.432824
kfl00001_0790	24.43004	27.78857	43.862633	45.446678
kfl00001_0800	77.213936	74.245743	123.548615	107.089577
kfl00001_0810	22.808327	23.630386	364.14682	366.35083
kfl00001_0820	7.039672	3.060457	36.660175	34.269394
kfl00001_0830	16.68865	18.658949	13.045977	11.730441
kfl00001_0840	5.015938	4.028737	2.693526	3.056155
kfl00001_0850	53.218483	52.170437	16.236357	19.207191
kfl00001_0860	42.9785	28.815176	39.468376	40.93956
kfl00001_0870	0	0	0	0
kfl00002_0010	53.342529	48.133034	38.842651	30.882881
kfl00002_0020	47.850304	39.81908	35.716003	36.784542
kfl00002_0030	70.356544	61.613377	35.255814	39.220284
kfl00002_0040	26.02034	22.521353	11.285915	12.035709
kfl00002_0050	194.493866	219.686142	122.225212	129.513519
kfl00002_0060	12.243512	9.707294	26.544151	29.217707
kfl00002_0070	77.133163	68.326202	58.487003	69.542854
kfl00002_0080	105.385101	104.213959	102.081558	94.452049
kfl00002_0090	0	0	0.06011	0
kfl00002_0100	103.401146	117.603004	85.284744	68.266945
kfl00002_0110	10.720008	17.418856	13.889904	12.047942
kfl00002_0120	134.845459	120.359146	309.976898	326.280884
kfl00002_0130	21.581892	22.311668	14.347491	12.53496
kfl00002_0140	70.815712	75.726479	61.137268	74.64325
kfl00002_0150	8.902648	7.02968	15.999179	15.614459
kfl00002_0160	230.781052	214.6073	203.876984	219.738724
kfl00002_0170	5.470273	5.809005	5.762459	5.876885
kfl00002_0180	10.576012	11.899624	6.681083	7.438727
kfl00002_0190	0	2.738488	0	0
kfl00002_0200	6.467414	4.481801	2.1872	5.582993
kfl00002_0210	223.348267	213.820602	218.045837	220.477341
kfl00002_0220	9.025318	4.902398	3.608723	4.481421
kfl00002_0240	50.621521	55.384884	14.4941	23.266373
kfl00002_0250	0	0	0	0
kfl00002_0260	0	0	0	0
kfl00002_0270	0	0	0	0
kfl00002_0280	20.473782	21.978834	16.471094	19.190851
kfl00002_0290	1.010168	0	0	0
kfl00002_0300	54.690731	43.82753	18.831591	16.598558
kfl00002_0310	16.810612	24.918034	11.640049	9.034902
kfl00002_0320	27.153551	17.372255	38.42107	41.498562
kfl00002_0330	51.405014	41.086746	145.509079	149.957397
kfl00002_0340	2.831166	2.802874	1.194503	0.518507
kfl00002_0350	5.339619	7.601267	8.14431	4.911051
kfl00002_0360	12.520291	12.058948	6.592213	9.74874
kfl00002_0370	141.413986	141.529266	38.2784	24.051168
kfl00002_0380	10.324191	10.177794	7.24767	8.325901
kfl00002_0390	27.520569	25.465609	46.425869	53.062508
kfl00002_0400	0	0	0	0
kfl00002_0410	0	0	0	0
kfl00002_0420	62.359505	66.705498	55.880096	57.334576
kfl00002_0430	50.664413	49.254295	49.113701	42.138222
kfl00002_0440	111.615089	122.583527	182.737671	181.07132
kfl00002_0450	8.660248	9.446586	6.564172	6.968607
kfl00002_0460	17.455946	18.981714	8.649954	6.39278
kfl00002_0470	5.173546	4.198331	6.536114	3.290296
kfl00002_0480	43.448078	36.712349	12.445256	12.393177
kfl00002_0490	34.826637	33.378433	36.46167	33.946621
kfl00002_0500	57.85614	47.458824	45.317497	54.513626
kfl00002_0510	22.116915	21.188755	28.043243	31.80608
kfl00002_0520	13.421195	26.415064	28.105881	29.572512
kfl00002_0530	47.987652	55.581825	140.862717	169.968735
kfl00002_0540	0	0	0	0
kfl00002_0560	18.38015	15.781835	33.674122	42.18325
kfl00002_0570	57.372871	60.51963	73.608879	66.467552
kfl00002_0580	59.836666	53.477028	81.54953	81.889359
kfl00002_0590	0	0	0	0
kfl00002_0595	2.567261	4.620783	2.042598	0.934954
kfl00002_0600	0	0	0	0
kfl00002_0605	0	0	0	0
kfl00002_0610	15.783372	13.116226	45.115067	44.413483
kfl00002_0620	28.87751	25.90065	21.597761	20.274271
kfl00002_0630	12.402209	11.615561	10.127395	9.909925
kfl00002_0640	5.285745	0	1.883902	5.844754
kfl00002_0650	14.371099	12.167556	6.405531	10.745516
kfl00002_0660	0	0	0	0
kfl00002_0670	52.774288	51.031635	20.463926	18.732679
kfl00002_0680	7.919144	10.09128	21.768751	26.845373
kfl00002_0690	12.882098	14.079328	7.416083	10.276929
kfl00002_0700	18.705143	14.474472	10.384402	14.258884
kfl00002_0710	68.395332	57.756409	48.676346	39.193226
kfl00002_0720	19.433418	24.020378	7.244157	9.078218
kfl00002_0730	5.293638	8.174097	3.974203	3.02981
kfl00002_0740	0.251728	0.077953	0	0
