geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.100259	13.182961	10.041955	12.376188
kfl00001_0030	91.777298	82.375877	90.911018	102.19767
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	30.549137	19.769375	20.923981	14.725508
kfl00001_0060	206.657867	224.37059	148.342453	157.939133
kfl00001_0070	14.40555	14.214348	19.408718	19.622879
kfl00001_0080	20.514433	22.853582	14.170519	13.97173
kfl00001_0090	3.538893	6.789114	4.862867	7.614307
kfl00001_0100	0	0	0	0
kfl00001_0110	42.525028	35.774822	61.962326	59.997456
kfl00001_0120	166.565948	174.007996	143.095093	171.913834
kfl00001_0130	15.581856	12.994271	8.175754	10.635103
kfl00001_0140	34.019279	24.280699	21.51103	24.499369
kfl00001_0150	0	0	0	0
kfl00001_0160	5.309602	5.696522	0.672928	1.251746
kfl00001_0170	5.163702	9.746804	1.729994	1.384675
kfl00001_0180	11.050174	9.324769	11.161699	15.730401
kfl00001_0190	17.412003	18.262501	8.659721	9.390512
kfl00001_0200	22.570074	21.259897	20.407261	18.884329
kfl00001_0210	9.728431	9.641777	1.98078	3.882424
kfl00001_0220	43.333927	34.217014	36.662388	32.237492
kfl00001_0230	5.461467	6.191324	6.458602	7.698956
kfl00001_0240	60.896145	62.29768	49.578793	48.394047
kfl00001_0250	13.632751	21.406801	6.352515	6.777157
kfl00001_0260	9.585773	7.752001	4.266456	4.093931
kfl00001_0270	3.255457	2.920352	3.259705	2.791117
kfl00001_0280	11.293643	14.617071	8.214007	6.942492
kfl00001_0290	16.601437	16.321062	13.895229	12.595387
kfl00001_0300	7.567517	8.119915	9.96191	7.338785
kfl00001_0310	0	0	0	0
kfl00001_0320	3466.260742	3285.873291	2232.267822	2382.77417
kfl00001_0330	8.370099	9.5472	2.813689	2.886076
kfl00001_0340	63.064106	58.808338	47.529686	58.302193
kfl00001_0350	8.95496	7.787683	9.752791	9.872738
kfl00001_0360	13.455755	12.209145	14.89572	21.677635
kfl00001_0370	15.656202	18.992174	8.341477	8.078386
kfl00001_0380	15.208081	12.330413	24.324623	31.116507
kfl00001_0390	11.332446	14.648285	6.939278	12.447507
kfl00001_0400	7.455785	4.765219	5.683692	8.13813
kfl00001_0410	6.163146	2.817595	0.776253	1.623839
kfl00001_0420	68.421608	61.190571	48.979774	52.45681
kfl00001_0430	3.834405	2.304044	4.404549	3.275928
kfl00001_0440	23.598309	24.086327	20.038305	16.82926
kfl00001_0450	31.510656	32.768368	18.358868	20.001562
kfl00001_0460	25.761389	27.218086	26.47345	26.724442
kfl00001_0470	30.69969	39.822544	16.557669	15.890776
kfl00001_0480	8.999855	10.247751	3.361676	4.019007
kfl00001_0490	14.265538	13.985786	5.072053	4.036902
kfl00001_0500	104.108414	95.72155	80.669418	83.739059
kfl00001_0510	4.900402	8.956926	14.571879	11.566857
kfl00001_0520	8.952518	9.777771	6.170725	8.692255
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	10.434798	15.034915	4.542912	7.000459
kfl00001_0560	14.924764	20.745018	8.894053	13.462221
kfl00001_0570	0.850035	0.921072	0.16633	0.32921
kfl00001_0580	13.946135	12.823211	15.794083	14.181147
kfl00001_0590	28.355175	23.437347	11.204361	11.395726
kfl00001_0600	8.907248	10.144049	2.83035	3.611628
kfl00001_0610	14.695894	16.113308	4.768336	8.404104
kfl00001_0620	1609.913574	1630.011597	1449.403809	1383.344604
kfl00001_0630	0	0	0	0
kfl00001_0640	2.323891	2.420244	3.61747	3.966105
kfl00001_0650	75.085457	73.864761	56.300732	54.371178
kfl00001_0660	14.233397	10.316582	11.502192	11.784492
kfl00001_0670	11.057041	9.671744	15.74713	16.763285
kfl00001_0680	0	0	0	0
kfl00001_0690	4.047343	3.599848	0	0
kfl00001_0700	2.181848	3.146347	0.874917	0.985686
kfl00001_0710	12.946842	13.554332	10.868094	13.777191
kfl00001_0720	2.837992	2.455433	1.351145	0.854222
kfl00001_0730	48.638752	50.415833	43.237671	52.385487
kfl00001_0740	95.359268	89.72345	58.806641	45.642956
kfl00001_0750	16.674917	18.143862	13.46523	13.439999
kfl00001_0760	4.587689	3.425061	0.728355	1.024379
kfl00001_0770	118.782303	120.445465	85.70533	78.131615
kfl00001_0780	12.904258	10.735597	5.760184	9.288021
kfl00001_0785	3.196172	2.195936	3.521584	4.327622
kfl00001_0790	24.997295	26.812195	42.62664	47.075481
kfl00001_0800	78.502991	80.671829	122.49633	109.918198
kfl00001_0810	23.886024	23.994772	357.804779	372.602325
kfl00001_0820	6.987628	4.057661	36.706749	34.869835
kfl00001_0830	16.728264	17.271374	12.965833	11.972184
kfl00001_0840	4.735775	4.205093	2.580361	3.097509
kfl00001_0850	52.606117	48.440296	16.333242	17.863794
kfl00001_0860	40.57835	30.062943	36.703613	37.436768
kfl00001_0870	0	0	0	0
kfl00002_0010	53.658676	48.703724	33.942497	30.517712
kfl00002_0020	46.475582	42.154728	34.749748	37.992798
kfl00002_0030	71.388054	66.183655	36.905376	36.963276
