geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.583208	13.718494	9.466229	12.352089
kfl00001_0030	93.60363	81.053474	90.922218	100.79248
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	31.701572	20.073877	20.167162	14.29013
kfl00001_0060	213.693359	223.118973	150.945709	158.750809
kfl00001_0070	14.007469	13.081405	19.031691	19.363676
kfl00001_0080	19.753437	20.455814	14.841811	14.26198
kfl00001_0090	3.574722	7.645154	4.589762	6.994996
kfl00001_0100	0	0	0	0
kfl00001_0110	41.327465	36.470436	63.156528	60.59705
kfl00001_0120	163.993622	177.406616	143.76947	174.389862
kfl00001_0130	14.861195	12.844409	8.191992	10.121167
kfl00001_0140	33.177513	23.790724	20.681265	24.004841
kfl00001_0150	0	0	0	0
kfl00001_0160	5.347563	5.458102	0.551404	1.113797
kfl00001_0170	5.617771	10.01468	2.088869	1.143106
kfl00001_0180	10.661605	8.792778	11.55503	15.802585
kfl00001_0190	17.728426	17.944086	7.932833	9.626792
kfl00001_0200	23.632437	21.222839	21.292585	17.224457
kfl00001_0210	9.173568	9.407467	1.962094	3.999327
kfl00001_0220	46.595898	31.534672	34.591038	30.954205
kfl00001_0230	5.763378	5.781927	6.512441	8.672862
kfl00001_0240	58.768539	64.73909	50.210754	46.544537
kfl00001_0250	12.605268	21.694828	6.782899	6.520469
kfl00001_0260	7.628874	9.463588	3.975535	4.661829
kfl00001_0270	3.306828	2.880726	3.299522	2.420006
kfl00001_0280	11.994449	14.701731	8.404525	6.782267
kfl00001_0290	17.216639	15.71919	13.689849	12.480688
kfl00001_0300	7.525425	7.84725	10.017566	7.563125
kfl00001_0310	0	0	0	0
kfl00001_0320	3468.871826	3291.601562	2218.183838	2374.083984
kfl00001_0330	8.491369	8.127155	2.836062	2.668259
kfl00001_0340	63.253761	59.295746	47.857056	58.397633
kfl00001_0350	8.668099	7.570078	9.872546	9.259972
kfl00001_0360	14.213349	12.538506	14.886415	21.977795
kfl00001_0370	16.509066	18.058708	8.433833	6.949406
kfl00001_0380	15.003036	13.111419	24.013607	30.751846
kfl00001_0390	12.023962	14.910706	7.777792	12.720423
