geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.147458	12.961246	9.70795	12.347617
kfl00001_0030	91.437202	81.934212	90.876183	102.683205
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	30.985502	19.521164	20.376265	14.766516
kfl00001_0060	208.472565	222.329773	149.449234	155.723221
kfl00001_0070	14.473658	13.238008	19.779282	19.88578
kfl00001_0080	20.363134	23.428404	14.332382	14.210219
kfl00001_0090	3.752173	7.056324	4.700099	7.52337
kfl00001_0100	0	0	0	0
kfl00001_0110	42.15358	35.968922	62.381046	59.916668
kfl00001_0120	165.636032	174.332062	144.040436	174.641937
kfl00001_0130	14.62444	12.972707	8.184708	9.962075
kfl00001_0140	33.138023	24.414263	21.327108	24.650883
kfl00001_0150	0	0	0	0
kfl00001_0160	5.188644	5.88271	0.624001	1.264735
kfl00001_0170	5.466966	10.100412	1.718645	1.190742
kfl00001_0180	10.965816	9.344738	11.221542	15.652258
kfl00001_0190	17.840532	17.775692	8.586308	9.347074
kfl00001_0200	23.676521	22.156855	20.886971	17.817638
kfl00001_0210	9.953055	9.344687	2.056954	4.195819
kfl00001_0220	44.274719	33.614418	37.579029	31.994236
kfl00001_0230	5.780584	5.920705	6.553541	7.884043
kfl00001_0240	60.557583	62.71077	49.221039	48.550766
kfl00001_0250	13.464479	22.119764	6.424427	6.472194
kfl00001_0260	8.727629	7.868176	4.082765	4.236105
kfl00001_0270	3.408253	2.932786	3.308948	2.700264
kfl00001_0280	11.400795	14.762681	8.270375	6.82509
kfl00001_0290	17.145597	16.540174	13.571012	12.378504
kfl00001_0300	7.720984	8.097526	10.008052	7.462979
kfl00001_0310	0	0	0	0
kfl00001_0320	3461.401367	3272.888184	2222.496338	2381.477783
kfl00001_0330	8.153533	8.668796	2.859365	2.714905
kfl00001_0340	63.347282	58.750317	48.17128	58.857746
kfl00001_0350	8.711978	7.604555	9.901612	9.498257
kfl00001_0360	13.931263	12.207067	14.740655	22.197563
kfl00001_0370	15.476123	18.759617	8.359852	8.300392
kfl00001_0380	14.87059	12.507025	24.466499	32.092731
kfl00001_0390	10.843748	14.758114	7.202147	12.771029
kfl00001_0400	7.409866	4.441019	5.789241	8.738243
kfl00001_0410	5.829079	3.018015	0.687071	1.821798
kfl00001_0420	68.219734	60.987919	49.111965	52.669052
kfl00001_0430	3.796672	2.120692	4.196424	3.369646
kfl00001_0440	23.409575	23.621893	20.442171	16.228144
kfl00001_0450	31.589317	32.74971	18.826221	19.617214
kfl00001_0460	26.085117	27.107882	26.967081	27.562727
kfl00001_0470	30.622089	39.492695	16.756649	16.096977
kfl00001_0480	8.882083	10.462143	3.331682	3.944363
kfl00001_0490	13.756615	13.423767	5.279421	3.959351
kfl00001_0500	103.912514	96.276436	79.86834	84.280243
kfl00001_0510	4.634413	8.930103	13.620817	11.069134
kfl00001_0520	9.060899	9.448635	6.244956	8.687217
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	11.046894	15.444175	4.311419	7.577388
kfl00001_0560	14.291394	20.265659	8.795686	13.332079
kfl00001_0570	0.840237	0.890907	0.166379	0.34679
kfl00001_0580	13.401085	13.458908	16.337332	13.13005
kfl00001_0590	28.48572	22.156416	11.166728	11.266588
kfl00001_0600	8.401024	11.312581	3.03122	3.52037
kfl00001_0610	14.260372	16.825983	5.079519	8.141633
kfl00001_0620	1598.651245	1617.53125	1445.611572	1387.299194
kfl00001_0630	0	0	0	0
kfl00001_0640	2.390163	2.365137	3.504085	4.05788
kfl00001_0650	76.45768	72.282974	56.777554	54.946468
kfl00001_0660	14.579922	9.882926	11.400154	12.019279
kfl00001_0670	10.948542	9.62106	15.755824	17.02993
kfl00001_0680	0	0	0	0
kfl00001_0690	4.110423	3.902808	0	0
kfl00001_0700	2.068271	2.901994	0	1.054768
kfl00001_0710	13.111865	13.51681	10.789674	13.922588
kfl00001_0720	2.972302	2.599444	1.316104	0.790003
kfl00001_0730	48.544571	49.291302	42.566467	51.117542
kfl00001_0740	97.72332	90.448067	59.208271	46.104584
kfl00001_0750	16.111753	17.711842	12.932438	12.892037
kfl00001_0760	4.525939	3.459602	0.711389	1.008728
kfl00001_0770	118.690758	118.060783	84.240303	77.714966
kfl00001_0780	12.831668	10.840309	5.642238	9.351583
kfl00001_0785	2.890798	2.325193	3.544215	3.783793
kfl00001_0790	25.07321	27.0445	43.084148	46.189133
kfl00001_0800	77.927452	80.962143	122.122421	109.530327
kfl00001_0810	23.79619	23.692019	357.27475	372.326813
kfl00001_0820	7.747514	3.483732	35.726196	35.665817
kfl00001_0830	16.808619	17.422966	13.800902	12.446578
kfl00001_0840	4.796989	4.018891	2.358348	3.138969
kfl00001_0850	52.679455	50.033318	17.081835	17.544554
kfl00001_0860	41.560509	30.110369	36.65406	37.937073
kfl00001_0870	0	0	0	0
kfl00002_0010	52.996799	50.262592	33.662407	31.169262
kfl00002_0020	46.052162	41.949333	34.828163	37.139912
kfl00002_0030	71.331802	67.850731	37.082764	36.702698
kfl00002_0040	27.254591	22.357681	12.53923	11.245831
kfl00002_0050	193.805389	219.247208	121.593903	129.438995
kfl00002_0060	13.398583	9.708011	27.323614	30.798849
kfl00002_0070	78.292923	66.09359	58.322498	65.68824
kfl00002_0080	107.738762	103.583626	103.975945	93.300926
kfl00002_0090	0	0	0.045209	0
kfl00002_0100	105.372742	119.501617	82.30024	69.93969
kfl00002_0110	11.869374	16.236904	13.028742	11.292468
kfl00002_0120	137.464111	119.527611	314.907227	325.902649
kfl00002_0130	21.778513	21.190905	14.331021	12.733068
kfl00002_0140	71.338219	72.640991	61.647171	73.467926
kfl00002_0150	8.51406	6.939073	15.805397	15.528017
kfl00002_0160	233.316803	216.98642	206.739792	214.750473
kfl00002_0170	5.522629	5.840562	5.735692	5.969657
kfl00002_0180	10.207286	12.069397	6.31389	7.017307
kfl00002_0190	1.906064	3.104249	0	0
kfl00002_0200	5.590662	4.66883	2.891111	5.367468
kfl00002_0210	225.506561	212.321976	214.468826	218.756241
kfl00002_0220	8.448262	5.168217	3.828753	4.728553
kfl00002_0240	55.184006	52.948265	15.650592	23.69783
kfl00002_0250	0	0	0	0
kfl00002_0260	0	0	0	0
kfl00002_0270	0	0	0	0
kfl00002_0280	20.201141	23.019411	17.759676	18.950132
kfl00002_0290	0.817916	0	0	0
kfl00002_0300	53.580326	41.142883	18.917883	15.968644
kfl00002_0310	18.269926	22.135204	11.967502	9.134809
kfl00002_0320	25.372255	16.188082	39.137455	42.372581
kfl00002_0330	50.376976	40.777264	145.775833	145.683212
kfl00002_0340	2.62239	2.924804	1.389149	0.475984
kfl00002_0350	5.930809	7.783644	7.718059	5.075752
kfl00002_0360	12.361369	12.408427	7.963835	9.843396
kfl00002_0370	141.981293	137.743088	36.687885	25.215477
kfl00002_0380	10.263778	10.152382	7.949193	8.911057
kfl00002_0390	26.419741	26.193512	47.085579	51.403057
kfl00002_0400	0	0	0	0
kfl00002_0410	0	0	0	0
kfl00002_0420	64.98233	64.886093	56.415085	56.349403
kfl00002_0430	48.712383	50.640678	51.30265	42.617088
kfl00002_0440	109.069817	117.712685	179.195709	181.324036
kfl00002_0450	8.027534	10.701668	6.485825	7.157272
kfl00002_0460	17.481791	19.767475	6.977254	6.098486
kfl00002_0470	4.978555	4.522611	6.231993	3.298348
kfl00002_0480	41.758739	34.205585	11.88975	12.23438
kfl00002_0490	36.503666	32.425037	35.777916	32.751305
kfl00002_0500	60.761887	50.090504	45.335068	54.377327
kfl00002_0510	22.925133	21.625948	28.035883	32.350101
kfl00002_0520	15.196985	25.852373	29.426889	26.346348
kfl00002_0530	45.998535	54.73822	140.563492	168.542297
kfl00002_0540	0	0	0	0
kfl00002_0560	18.322973	15.900035	35.787655	43.781624
kfl00002_0570	54.825077	63.655174	70.878616	69.962326
kfl00002_0580	58.383759	56.601379	81.151337	81.498863
kfl00002_0590	0	0	0	0
kfl00002_0595	2.539322	4.404707	1.801013	1.006331
kfl00002_0600	0	0	0	0
kfl00002_0605	0	0	0	0
kfl00002_0610	15.580317	13.503849	46.403099	44.924629
kfl00002_0620	28.526089	24.595114	21.8034	20.312643
kfl00002_0630	12.477798	11.556264	9.96065	9.731355
kfl00002_0640	5.108206	0	2.116229	4.931814
kfl00002_0650	15.709399	11.869499	7.195501	10.18842
kfl00002_0660	0	0	0	0
kfl00002_0670	53.044022	52.134548	21.11652	18.517828
kfl00002_0680	8.02352	10.568998	21.946749	25.87277
kfl00002_0690	11.464285	13.177324	8.132892	10.373022
kfl00002_0700	19.014154	15.5997	9.66433	14.750132
kfl00002_0710	67.171501	55.471577	49.624695	36.30101
kfl00002_0720	17.646551	23.227779	7.951652	10.044456
kfl00002_0730	6.029358	6.987061	4.277286	2.930307
kfl00002_0740	0.259884	0.062835	0	0
kfl00002_0750	0	0	0	0
kfl00002_0760	0	0	0	0
kfl00002_0770	0	0	0	0
kfl00002_0780	0	0	0	0
kfl00002_0790	0	0	0	0
kfl00002_0800	0	0	0	0
kfl00002_g1	0	2.187218	1.155916	0
kfl00002_g17	0	0.699226	0.627752	0.45912
kfl00002_g30	0	0	0	0
kfl00002_g34	15.760027	10.22635	29.098988	35.699413
kfl00002_g40	0	0	0	0
kfl00002_g82	0	0	0	0
kfl00003_0010	0	0	0	0
kfl00003_0020	0	0	0	0
kfl00003_0030	8.221107	4.974217	6.347759	5.255013
kfl00003_0040	114.14019	95.338547	84.981293	71.60376
kfl00003_0050	3.601861	3.897015	3.21266	3.580216
kfl00003_0055	1.991735	3.393777	1.567424	1.826518
kfl00003_0060	5.801291	2.954408	0.647279	0
kfl00003_0070	29.760647	26.059307	42.598896	41.06501
kfl00003_0080	18.622919	23.113573	29.360966	27.43185
kfl00003_0090	16.811031	18.229078	2.51281	5.655089
kfl00003_0095	3.139493	0	0	0
kfl00003_0100	7.659876	6.419707	1.595914	0.783998
kfl00003_0110	21.209381	23.370445	39.921242	44.44849
kfl00003_0120	0	0	0	0
kfl00003_0130	17.605101	19.805496	3.214955	2.827487
kfl00003_0140	10.596047	9.424685	3.91803	6.388925
kfl00003_0150	9.056951	9.684537	6.156201	7.673125
kfl00003_0160	23.81148	18.122467	19.748819	20.096321
kfl00003_0170	31.351164	36.186817	26.603895	21.836143
kfl00003_0180	22.069008	22.453741	41.381969	44.148563
kfl00003_0190	0	0	0	0
kfl00003_0200	13.173596	5.576713	12.205454	12.004244
kfl00003_0210	86.733467	75.042961	45.387829	45.85078
kfl00003_0220	0	0	0	0
kfl00003_0230	0	0	0	0
kfl00003_0240	11.970144	11.666031	9.854452	12.191137
kfl00003_0250	5.07893	3.781279	4.428985	3.998957
kfl00003_0260	67.001198	62.559143	42.199677	43.821934
kfl00003_0270	36.419735	42.850201	26.129616	25.959768
kfl00003_0280	36.535313	21.36408	15.574733	13.543855
kfl00003_0290	182.369217	163.340988	144.284302	142.806793
kfl00003_0300	16.41153	9.518033	8.446543	6.27309
kfl00003_0310	13.504031	11.906191	6.675793	5.828131
kfl00003_0320	7.028239	5.909686	5.532022	6.159943
kfl00003_0330	0.836328024793388	0	0	0
kfl00003_0340	41.658051	45.808895	17.496885	15.686234
kfl00003_0350	9.604939	7.402644	8.416085	10.059468
kfl00003_0360	23.133314	21.508041	32.233089	30.95373
kfl00003_0370	25.001827	17.073492	15.655727	15.947425
kfl00003_0380	23.553814	25.468319	29.25902	31.298033
kfl00003_0390	0.232404	0.028852	0.146286	0.404011
kfl00003_0400	0	0	0	0
kfl00003_0410	2.52179	0.85705	0	2.685782
kfl00003_0420	0	0	0	0
kfl00003_0430	61.104939	61.142239	49.531414	45.743324
kfl00003_0440	1.432088	5.845314	0.869316	1.840399
kfl00003_0450	0	0	0	0
kfl00003_0455	0	0	0	0
kfl00003_0460	6.972288	8.514235	3.069911	3.080418
kfl00003_0470	21.886604	21.57357	13.930719	15.962742
kfl00003_0480	27.609135	29.696663	19.496563	10.525762
kfl00003_0490	7.180667	9.561887	4.059442	4.373316
kfl00003_0500	0	0	0	0
kfl00003_0510	25.751945	21.215767	30.033169	35.602249
kfl00003_0520	0	0	0	0
kfl00003_0530	5.51419552992194	4.03899321734605	6.25091276843018	7.04890258456201
kfl00003_0540	25.569639	20.644224	9.311832	9.828462
kfl00003_0550	18.211267	13.889009	12.708848	11.611152
kfl00003_0560	19.652273	8.948784	5.466308	5.148943
kfl00003_0570	1.967228	1.77335	6.55469	8.129427
kfl00003_0580	3.530236	0	5.416406	8.512638
kfl00003_0590	131.680588	142.049911	268.903351	287.502411
kfl00003_0600	43.562145	38.339184	94.117859	110.928993
kfl00003_0610	0	0	0	0
kfl00003_0620	0	0	0	0
kfl00003_0630	30.689875	31.726833	29.633654	31.012484
kfl00003_0640	16.154469	15.783054	3.701928	3.665158
kfl00003_0645	35.379341	29.578733	72.059952	88.165291
kfl00003_0650	13.156166	16.044792	13.568892	9.722546
kfl00003_0660	4.813027	4.370332	2.736321	4.8914
kfl00003_0680	8.427903	6.865265	6.87854	8.643545
kfl00003_0690	32.036144	29.768528	40.765118	42.064888
kfl00003_0700	61.508488	58.350918	53.994331	45.983192
kfl00003_0710	120.968254	127.649376	87.897362	87.828491
kfl00003_0720	104.497978	84.219322	82.32769	102.622818
kfl00003_0730	39.785397	31.317133	10.567698	14.74466
kfl00003_0740	8.596331	10.285405	23.815563	24.966543
kfl00003_0750	36.071526	28.384798	12.230242	11.109799
kfl00003_0760	4.388549	5.103995	0.829647	0.864268
kfl00003_0770	25.785744	23.564486	5.135413	4.736044
kfl00003_g25	0	0	0	0
kfl00004_0010	0	0	0	0
kfl00004_0020	10.320605	12.244426	11.365762	14.569125
kfl00004_0030	85.806427	73.066521	48.010288	44.925499
kfl00004_0040	10.31367	6.163317	11.193181	10.491138
kfl00004_0060	6.261607	5.693567	7.779876	9.107074
kfl00004_0070	8.333944	6.985109	3.14547	1.967117
kfl00004_0080	0	0	0	0
kfl00004_0090	0	0	0	0
kfl00004_0100	0	0	0	0
kfl00004_0110	0	0	0	0
kfl00004_0120	0	0	0	0
kfl00004_0130	35.295681	37.339355	45.721031	52.278008
kfl00004_0150	0	0	0	0
kfl00004_0160	1.085936	0.596269	0	0
kfl00004_0170	8.376284	12.575531	2.789099	2.477641
kfl00004_0180	0	0	0	0
kfl00004_0190	0	0	0	0
kfl00004_0200	22.439661	22.319078	7.4913	11.511982
kfl00004_0210	108.273857	111.928764	25.023647	25.892792
kfl00004_0220	10.191783	11.853657	59.740185	62.283161
kfl00004_0230	8.34992	5.349829	4.205575	3.596281
kfl00004_0240	0	0	0	0
kfl00004_0250	4.339487	6.156763	0	0
kfl00004_0260	3.287864	3.674528	2.454268	3.818839
kfl00004_0270	69.100662	67.629089	49.59536	55.046715
kfl00004_0280	11.501046	13.210637	5.117314	6.842522
kfl00004_0290	5.953697	6.148095	4.494499	4.763364
kfl00004_0300	21.901525	25.03303	11.339562	15.407665
kfl00004_0310	43.20435	35.584816	44.568333	48.923584
kfl00004_0320	25.133493	21.318871	16.381935	19.326
kfl00004_0330	9.159843	9.287636	7.844627	6.828432
kfl00004_0340	9.121531	10.391475	6.361391	7.124631
kfl00004_0343	0	0	0	0
kfl00004_0346	0	0	0	0
kfl00004_0350	0	0	0	0
kfl00004_0360	0	0	0	0
kfl00004_0370	60.050018	52.073383	66.107506	64.820152
kfl00004_0380	3.162599	3.402654	0.944046	0.592067
kfl00004_0385	14.881166	15.809879	11.867527	16.636375
kfl00004_0390	4.622129	4.801185	6.707545	6.87712
kfl00004_0410	12.208212	13.528095	7.595075	6.868867
kfl00004_0420	7.046389	7.500426	2.009458	2.001132
kfl00004_0430	3.770035	2.486246	5.533101	5.418055
kfl00004_0440	0	0	0	0
kfl00004_0450	2.305679	2.503326	3.719255	4.129432
kfl00004_0460	0.606846	1.636708	2.171604	5.122454
kfl00004_0470	0	0	0	0
kfl00004_0480	0	0	0	0
kfl00004_0490	0	0	0	0
kfl00004_0500	4.818219	3.139943	25.328426	29.6768
kfl00004_0510	7.750517	9.190439	6.655027	9.680316
kfl00004_0520	9.091503	5.349111	7.188059	4.437763
kfl00004_0530	11.7477136372959	10.3522660810229	8.75584950867199	11.8730479793645
kfl00004_0540	3.233814	4.05699	6.03908	6.428165
kfl00004_0550	29.470064	24.012815	21.24806	22.645754
kfl00004_0560	0	0	0	0
kfl00004_0570	0	0	0	0
kfl00004_0580	1.873016	2.68301	3.496298	4.987426
kfl00004_0600	5.044497	0	2.588406	0
kfl00004_0610	0	0	0	0
kfl00004_0620	81.135414	74.357948	44.666111	47.238556
kfl00004_0630	28.351656	23.875919	30.748838	25.22464
kfl00004_g11	57.502625	47.108932	39.121101	43.432919
kfl00004_g60	9.64447	9.528733	10.104018	11.99796
kfl00005_0010	0	0	0	0
kfl00005_0020	2.94759	2.678527	0	0
kfl00005_0030	3.292904	3.148846	0.892153	0.780091
