geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.08376	13.264879	9.996524	12.552967
kfl00001_0030	91.817162	81.38858	91.036201	101.562225
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	30.808811	19.702011	20.912624	14.855124
kfl00001_0060	207.031082	222.114273	148.916351	156.753922
kfl00001_0070	14.56037	13.589216	19.416084	19.559231
kfl00001_0080	20.764122	22.898205	14.275754	13.927075
kfl00001_0090	3.465301	6.94704	4.75581	7.696984
kfl00001_0100	0	0	0	0
kfl00001_0110	42.267979	36.090511	61.979946	60.088123
kfl00001_0120	166.833282	174.758835	143.069489	172.910721
kfl00001_0130	15.006943	13.052525	8.247075	10.650182
kfl00001_0140	33.374561	24.240522	21.355206	24.7174
kfl00001_0150	0	0	0	0
kfl00001_0160	5.303165	5.787911	0.68144	1.276077
kfl00001_0170	5.374534	10.068945	1.659223	1.22657
kfl00001_0180	10.907553	9.349048	11.237922	15.733047
kfl00001_0190	17.800266	17.615961	8.727202	9.337925
kfl00001_0200	23.045059	21.568962	20.424627	18.404001
kfl00001_0210	9.721733	9.808501	2.005837	3.902538
kfl00001_0220	43.998856	34.703911	36.746655	31.641897
kfl00001_0230	5.665155	6.083535	6.437683	7.540863
kfl00001_0240	60.582249	62.056423	49.625336	48.474827
kfl00001_0250	13.860974	21.261793	6.432875	6.70004
kfl00001_0260	9.106383	7.499988	4.236535	4.297451
kfl00001_0270	3.259012	3.029361	3.274329	2.818942
kfl00001_0280	11.418581	14.618363	8.249143	6.789955
kfl00001_0290	16.980646	16.388504	13.833367	12.394859
kfl00001_0300	7.637174	7.939707	9.908658	7.426701
kfl00001_0310	0	0	0	0
kfl00001_0320	3460.99292	3281.062012	2231.055176	2382.566406
kfl00001_0330	8.240758	9.310321	2.80903	2.91179
kfl00001_0340	63.079506	58.378956	47.606091	58.368286
kfl00001_0350	8.789412	7.727503	9.821492	9.448747
kfl00001_0360	13.357513	12.524837	14.888395	22.129637
kfl00001_0370	15.514806	19.026205	8.111208	8.176206
kfl00001_0380	15.122351	12.435291	24.456816	31.195843
