geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.100259	13.374633	10.041955	12.376188
kfl00001_0030	91.777298	81.366348	90.911018	102.19767
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	30.549137	19.470186	20.923981	14.725508
kfl00001_0060	206.657867	224.022018	148.342453	157.939133
kfl00001_0070	14.40555	14.333714	19.408718	19.622879
kfl00001_0080	20.514433	23.126303	14.170519	13.97173
kfl00001_0090	3.538893	6.869013	4.862867	7.614307
kfl00001_0100	0	0	0	0
kfl00001_0110	42.525028	36.066086	61.962326	59.997456
kfl00001_0120	166.565948	174.511185	143.095093	171.913834
kfl00001_0130	15.581856	13.093246	8.175754	10.635103
kfl00001_0140	34.019279	24.18778	21.51103	24.499369
kfl00001_0150	0	0	0	0
kfl00001_0160	5.309602	5.693027	0.672928	1.251746
kfl00001_0170	5.163702	9.919555	1.729994	1.384675
kfl00001_0180	11.050174	9.26766	11.161699	15.730401
kfl00001_0190	17.412003	18.210007	8.659721	9.390512
kfl00001_0200	22.570074	21.257212	20.407261	18.884329
kfl00001_0210	9.728431	9.892817	1.98078	3.882424
kfl00001_0220	43.333927	34.888374	36.662388	32.237492
kfl00001_0230	5.461467	6.106319	6.458602	7.698956
kfl00001_0240	60.896145	62.512188	49.578793	48.394047
kfl00001_0250	13.632751	21.372255	6.352515	6.777157
kfl00001_0260	9.585773	7.584558	4.266456	4.093931
kfl00001_0270	3.255457	2.984236	3.259705	2.791117
kfl00001_0280	11.293643	14.496625	8.214007	6.942492
kfl00001_0290	16.601437	16.522655	13.895229	12.595387
kfl00001_0300	7.567517	8.106064	9.96191	7.338785
kfl00001_0310	0	0	0	0
kfl00001_0320	3466.260742	3290.73999	2232.267822	2382.77417
kfl00001_0330	8.370099	9.440847	2.813689	2.886076
kfl00001_0340	63.064106	58.544621	47.529686	58.302193
kfl00001_0350	8.95496	7.786491	9.752791	9.872738
kfl00001_0360	13.455755	12.286234	14.89572	21.677635
kfl00001_0370	15.656202	18.879843	8.341477	8.078386
kfl00001_0380	15.208081	12.276515	24.324623	31.116507
kfl00001_0390	11.332446	14.754162	6.939278	12.447507
kfl00001_0400	7.455785	4.862678	5.683692	8.13813
kfl00001_0410	6.163146	2.950414	0.776253	1.623839
kfl00001_0420	68.421608	61.080132	48.979774	52.45681
kfl00001_0430	3.834405	2.331933	4.404549	3.275928
kfl00001_0440	23.598309	24.067907	20.038305	16.82926
kfl00001_0450	31.510656	32.931835	18.358868	20.001562
kfl00001_0460	25.761389	27.029736	26.47345	26.724442
kfl00001_0470	30.69969	39.19458	16.557669	15.890776
kfl00001_0480	8.999855	10.246867	3.361676	4.019007
kfl00001_0490	14.265538	13.740132	5.072053	4.036902
kfl00001_0500	104.108414	95.47776	80.669418	83.739059
kfl00001_0510	4.900402	9.027597	14.571879	11.566857
kfl00001_0520	8.952518	9.634574	6.170725	8.692255
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	10.434798	15.024795	4.542912	7.000459
kfl00001_0560	14.924764	20.47131	8.894053	13.462221
