geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	15.173513	12.003674	9.59234	12.875541
kfl00001_0030	96.125175	80.639061	89.683434	105.394638
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	26.971558	24.744612	21.095896	12.082409
kfl00001_0060	218.683609	221.994949	167.384308	153.063553
kfl00001_0070	10.447567	11.604675	18.038977	19.727703
kfl00001_0080	19.63501	24.891783	16.873821	13.799221
kfl00001_0090	3.389827	6.277063	3.885646	8.405171
kfl00001_0100	0	0	0	0
kfl00001_0110	43.835804	37.168949	57.969063	59.964787
kfl00001_0120	162.729401	185.210281	140.985611	174.021255
kfl00001_0130	15.703204	11.987899	7.988491	10.671355
kfl00001_0140	35.838875	27.989767	18.419561	23.205515
kfl00001_0150	0	0	0	0
kfl00001_0160	4.239647	7.246023	0	1.475552
kfl00001_0170	2.796253	7.587688	0	0
kfl00001_0180	11.06133	9.818488	11.529411	14.452217
kfl00001_0190	15.257034	16.544596	5.153941	7.33666
kfl00001_0200	26.135172	20.653164	21.208872	18.020613
kfl00001_0210	10.38366	8.710903	0	4.479225
kfl00001_0220	49.821056	29.896601	35.456463	28.041908
kfl00001_0230	4.954214	5.854097	4.968777	9.666791
kfl00001_0240	60.447231	66.528923	46.656082	50.481144
kfl00001_0250	9.843925	23.592609	6.764233	4.966358
kfl00001_0260	8.787515	0	0	4.159932
kfl00001_0270	3.35074	3.043914	3.182518	2.505447
kfl00001_0280	10.04689	11.262135	7.875634	5.303256
kfl00001_0290	18.4709	16.383232	10.514073	13.289207
kfl00001_0300	7.034827	7.88761	8.863494	9.024252
kfl00001_0310	0	0	0	0
kfl00001_0320	3457.281494	3344.195312	2206.395996	2355.552002
kfl00001_0330	8.362314	8.552929	3.421705	2.795122
kfl00001_0340	66.127403	60.653385	53.281837	56.111115
kfl00001_0350	7.861175	7.774492	11.149661	8.929954
kfl00001_0360	16.660856	11.892221	15.481435	22.70833
kfl00001_0370	12.34177	18.442547	7.469987	8.281426
kfl00001_0380	14.61972	12.363796	23.493608	30.244341
kfl00001_0390	7.82864	10.045034	5.224159	12.114468
kfl00001_0400	6.511503	3.554128	6.130953	9.760736
kfl00001_0410	7.8259	3.062859	0	2.119117
kfl00001_0420	68.153503	55.632973	48.470413	54.274166
kfl00001_0430	4.907926	2.524546	3.890244	2.632567
kfl00001_0440	27.022282	23.548433	21.182253	17.456459
kfl00001_0450	30.883385	31.942026	17.876888	20.305662
kfl00001_0460	25.453569	24.893206	23.042486	26.566961
kfl00001_0470	25.539333	39.438164	17.033442	14.428609
kfl00001_0480	9.714399	10.231282	2.217962	4.745157
kfl00001_0490	11.381794	13.476707	5.906578	2.841979
kfl00001_0500	113.054131	100.61689	78.487663	88.784134
kfl00001_0510	5.003704	9.673671	13.499166	10.228558
kfl00001_0520	7.360861	10.581335	7.92234	9.906045
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	8.759136	17.946524	0	10.565373
kfl00001_0560	15.093113	21.503622	8.717961	14.916678
kfl00001_0570	0.742588	1.09865	0	0
