geneID	control_1	control_2	high_light_1	high_light_2
kfl00002_0290	0.933583	0	0	0
kfl00002_0300	52.671326	40.33947	19.155041	16.935246
kfl00002_0310	17.995838	21.646452	11.655025	9.413655
kfl00002_0320	25.42878	16.624435	39.681122	42.74416
kfl00002_0330	50.05418	40.482941	143.728348	146.601532
kfl00002_0340	2.627014	2.90235	1.349688	0.493203
kfl00002_0350	5.934006	7.881842	7.949308	4.980779
kfl00002_0360	12.809252	11.75835	7.36141	9.651309
kfl00002_0370	142.299316	138.453308	36.185474	25.663561
kfl00002_0380	10.495145	10.176044	8.064345	8.517879
kfl00002_0390	26.482599	26.694084	46.906139	52.05817
kfl00002_0400	0	0	0	0
kfl00002_0410	0	0	0	0
kfl00002_0420	63.484272	66.240486	56.509823	56.560989
kfl00002_0430	50.018646	50.107712	50.646637	43.14991
kfl00002_0440	108.990509	120.162468	180.557785	182.373383
kfl00002_0450	8.208684	10.1234	6.47824	7.503059
kfl00002_0460	17.69623	19.069202	7.307366	5.913766
kfl00002_0470	4.84181	4.398887	6.436762	3.446718
kfl00002_0480	41.460945	34.616028	12.432451	12.269196
kfl00002_0490	36.26812	32.332867	35.603638	32.979282
kfl00002_0500	58.805779	49.153103	44.178963	52.883476
kfl00002_0510	22.80509	21.259357	28.183945	31.512608
kfl00002_0520	14.614997	26.367493	28.728195	27.770193
kfl00002_0530	46.529858	55.304241	140.671692	168.714432
kfl00002_0540	0	0	0	0
kfl00002_0560	18.458233	16.719425	35.429722	42.87114
kfl00002_0570	55.46114	64.651016	71.584206	70.05175
kfl00002_0580	57.905094	56.722908	78.938148	82.605042
kfl00002_0590	0	0	0	0
kfl00002_0595	2.819407	4.470999	1.81684	1.016927
kfl00002_0600	0	0	0	0
kfl00002_0605	0	0	0	0
kfl00002_0610	15.892091	13.360379	45.834671	45.206501
kfl00002_0620	28.59795	24.98728	21.116352	19.574398
kfl00002_0630	12.434485	11.284104	10.026087	9.873633
kfl00002_0640	4.979038	0	2.057441	5.261959
kfl00002_0650	15.280248	11.928114	7.443805	10.506177
kfl00002_0660	0	0	0	0
kfl00002_0670	54.265469	52.47578	21.287096	18.969814
kfl00002_0680	7.804022	10.82663	21.460661	26.126583
kfl00002_0690	11.851368	13.526325	8.193077	10.228411
kfl00002_0700	19.115904	14.380229	10.075788	14.491488
kfl00002_0710	66.440994	56.341492	50.080418	36.402676
kfl00002_0720	18.125601	23.309427	7.946649	10.049551
kfl00002_0730	6.080009	7.560487	4.5112	3.033164
kfl00002_0740	0.269284	0.065928	0	0
kfl00002_0750	0	0	0	0
kfl00002_0760	0	0	0	0
kfl00002_0770	0	0	0	0
kfl00002_0780	0	0	0	0
kfl00002_0790	0	0	0	0
kfl00002_0800	0	0	0	0
kfl00002_g1	0	2.469647	0.989809	0
kfl00002_g17	0	0.616207	0.803489	0.507174
kfl00002_g30	0	0	0	0
kfl00002_g34	16.131857	9.218227	29.940178	37.773727
kfl00002_g40	0	0	0	0
kfl00002_g82	0	0	0	0
kfl00003_0010	0	0	0	0
kfl00003_0020	0	0	0	0
kfl00003_0030	8.22014	5.185791	6.094126	5.290283
kfl00003_0040	115.926254	96.31546	85.430305	72.326973
kfl00003_0050	3.440644	3.745122	3.295108	3.639145
kfl00003_0055	1.96728	3.676878	1.631172	1.88348
kfl00003_0060	5.683535	2.770516	0.775969	0
kfl00003_0070	29.843233	26.096638	42.693695	41.373146
kfl00003_0080	18.443136	23.349207	28.421352	28.231604
kfl00003_0090	16.872358	17.925892	2.567427	6.073792
kfl00003_0095	3.187091	0	0	0
kfl00003_0100	7.94645	6.540964	1.575147	0.864615
kfl00003_0110	21.682535	23.184557	40.687916	44.516449
kfl00003_0120	0	0	0	0
kfl00003_0130	17.367664	19.947914	3.056835	2.86829
kfl00003_0140	10.174821	9.95541	4.121974	6.155673
kfl00003_0150	9.118863	9.468106	6.395679	7.694445
kfl00003_0160	23.949692	17.337784	20.210012	20.235218
kfl00003_0170	30.959867	36.374443	26.000481	20.724928
kfl00003_0180	22.906183	22.082256	41.215664	45.191399
kfl00003_0190	0	0	0	0
kfl00003_0200	13.452978	5.396143	12.546371	11.893282
kfl00003_0210	86.348328	75.235535	44.843998	45.007755
kfl00003_0220	0	0	0	0
kfl00003_0230	0	0	0	0
kfl00003_0240	12.147073	11.654732	9.921683	13.02397
kfl00003_0250	4.843592	3.832637	4.628819	4.020095
kfl00003_0260	65.68853	61.709309	42.23727	43.08326
kfl00003_0270	36.241837	42.447525	25.29846	26.720631
kfl00003_0280	36.065105	21.50824	14.972933	12.809413
kfl00003_0290	180.671173	164.839432	143.159302	143.068802
kfl00003_0300	16.989807	9.865794	8.697887	6.438673
kfl00003_0310	13.529984	11.830346	6.938251	5.95849
kfl00003_0320	7.014501	5.757968	5.533611	6.413301
kfl00003_0330	0.626474280991736	0	0	0
kfl00003_0340	42.228474	45.903984	17.093306	15.796141
kfl00003_0350	9.67085	7.250163	9.047523	10.713086
kfl00003_0360	22.513594	21.897697	31.912521	30.359722
kfl00003_0370	26.229694	17.603708	15.661229	16.15156
kfl00003_0380	24.181721	25.137085	30.147316	31.580301
kfl00003_0390	0.218793	0.044384	0.140404	0.434727
kfl00003_0400	0	0	0	0
kfl00003_0410	2.606678	1.0282	0	2.990642
kfl00003_0420	0	0	0	0
kfl00003_0430	61.066929	61.328545	48.965523	45.424473
kfl00003_0440	1.321332	6.227532	0.842394	1.853207
kfl00003_0450	0	0	0	0
kfl00003_0455	0	0	0	0
kfl00003_0460	7.151326	8.093445	3.084	3.028009
kfl00003_0470	21.864094	22.188614	14.062525	16.025738
kfl00003_0480	27.605108	29.915831	19.37483	11.275314
kfl00003_0490	7.110689	9.375518	4.060405	4.396494
kfl00003_0500	0	0	0	0
kfl00003_0510	26.9622	20.685989	30.784691	34.405392
kfl00003_0520	0	0	0	0
kfl00003_0530	5.35841930095403	4.07141210511709	6.1490980839549	7.21285588516912
kfl00003_0540	25.328863	20.094278	9.33267	9.612138
kfl00003_0550	18.591475	14.240758	13.043945	11.24129
kfl00003_0560	19.319946	9.102814	5.422937	4.991592
kfl00003_0570	1.912139	1.773261	6.778557	8.124993
kfl00003_0580	3.606299	0	5.814476	8.996387
kfl00003_0590	131.914566	140.221786	271.347382	286.389679
kfl00003_0600	44.372818	38.650879	94.774361	110.312271
kfl00003_0610	0	0	0	0
kfl00003_0620	0	0	0	0
kfl00003_0630	31.890837	31.472412	30.873049	32.085598
kfl00003_0640	15.825624	15.912817	3.496428	3.227307
kfl00003_0645	34.677826	29.817982	73.673393	87.267235
kfl00003_0650	13.220542	16.091747	13.467856	9.822644
kfl00003_0660	5.033787	4.498987	2.983333	4.99106
kfl00003_0680	7.867449	6.672886	6.904887	8.744111
kfl00003_0690	31.177197	29.728851	41.294197	41.484165
kfl00003_0700	61.904449	58.040844	54.19677	46.660389
kfl00003_0710	121.614647	128.3871	89.372299	87.994308
kfl00003_0720	104.378548	83.838722	82.240677	100.800423
kfl00003_0730	40.891228	31.969378	10.645817	14.288146
kfl00003_0740	9.13198	10.10923	23.877083	25.405428
kfl00003_0750	35.314503	28.169153	11.983354	10.871488
kfl00003_0760	4.498285	4.743443	0.90791	1.036507
kfl00003_0770	25.89946	23.527607	5.284969	4.825857
kfl00003_g25	0	0	0	0
kfl00004_0010	0	0	0	0
kfl00004_0020	10.56558	12.698844	11.426188	14.600103
kfl00004_0030	88.867119	72.330368	47.726734	46.741932
kfl00004_0040	10.571065	6.044351	11.378407	10.078638
kfl00004_0060	6.378059	5.791543	7.646863	9.477543
kfl00004_0070	8.134093	7.034911	3.157562	2.03852
kfl00004_0080	0	0	0	0
kfl00004_0090	0	0	0	0
kfl00004_0100	0	0	0	0
kfl00004_0110	0	0	0	0
kfl00004_0120	0	0	0	0
kfl00004_0130	36.685669	37.216934	44.162548	51.87579
kfl00004_0150	0	0	0	0
kfl00004_0160	1.212355	0.454137	0	0
kfl00004_0170	8.952862	12.136897	2.72671	2.268252
kfl00004_0180	0	0	0	0
kfl00004_0190	0	0	0	0
kfl00004_0200	22.211979	22.360336	7.831373	10.912154
kfl00004_0210	109.932457	111.901474	25.437153	25.347212
kfl00004_0220	9.788008	12.484768	59.820778	62.35368
kfl00004_0230	8.337928	5.537755	3.721264	3.809184
kfl00004_0240	0	0	0	0
kfl00004_0250	4.034621	5.970468	0	0
kfl00004_0260	3.306692	3.74558	2.501026	3.85058
kfl00004_0270	70.014221	66.630867	50.094921	55.293179
kfl00004_0280	11.320129	13.5685	5.406961	6.712066
kfl00004_0290	5.768469	6.280959	4.479074	4.707849
kfl00004_0300	22.231522	25.133398	11.114817	15.579868
kfl00004_0310	42.96196	35.818226	44.556267	49.013168
kfl00004_0320	24.124817	21.916199	16.513874	19.297609
kfl00004_0330	8.66528	9.795162	7.644775	6.783235
kfl00004_0340	9.312277	10.786819	6.428096	7.355623
kfl00004_0343	0	0	0	0
kfl00004_0346	0	0	0	0
kfl00004_0350	0	0	0	0
kfl00004_0360	0	0	0	0
kfl00004_0370	59.432705	51.677197	66.256264	65.546669
kfl00004_0380	3.314723	3.441071	0.951287	0.550221
kfl00004_0385	14.568794	15.862679	12.074594	16.077105
kfl00004_0390	4.560584	4.754848	6.675036	6.602875
kfl00004_0410	11.382408	13.787201	6.938472	7.003593
kfl00004_0420	7.067523	7.314717	1.839047	2.225762
kfl00004_0430	3.861909	2.38157	5.491538	5.562715
kfl00004_0440	0	0	0	0
kfl00004_0450	2.358975	2.672126	3.693274	3.894159
kfl00004_0460	0.608573	1.772966	2.351067	4.9078
kfl00004_0470	0	0	0	0
kfl00004_0480	0	0	0	0
kfl00004_0490	0	0	0	0
kfl00004_0500	4.6098	3.251573	25.181318	30.614399
kfl00004_0510	8.054856	8.831821	6.504444	9.735715
kfl00004_0520	9.03109	5.708042	7.103894	4.519051
kfl00004_0530	11.9471277254083	10.1126516203317	8.62223533713128	11.8220815610837
kfl00004_0540	3.40463	4.084539	6.158779	6.431391
kfl00004_0550	29.870949	24.240913	21.881866	22.460209
kfl00004_0560	0	0	0	0
kfl00004_0570	0	0	0	0
kfl00004_0580	1.796056	2.674017	3.429806	4.953692
kfl00004_0600	5.3298	0	2.861619	0
kfl00004_0610	0	0	0	0
kfl00004_0620	81.05294	73.302361	44.509438	46.66597
kfl00004_0630	27.423594	23.594677	30.611963	25.301531
kfl00004_g11	58.090614	47.256756	38.498032	43.49604
kfl00004_g60	9.488537	9.431943	10.70567	12.2938
kfl00005_0010	0	0	0	0
kfl00005_0020	2.805493	2.588076	0	0
kfl00005_0030	3.688887	2.863806	0.857921	0.935555
kfl00005_0040	1.592216	1.300601	0	0
kfl00005_0050	9.540751	12.953459	45.6525	45.216438
kfl00005_0060	62.905697	61.997952	35.635475	43.692089
kfl00005_0070	68.9981	73.072319	103.914062	99.146133
kfl00005_0080	0	0	0	0
kfl00005_0090	53.555962	47.589443	32.875412	33.522678
kfl00005_0100	6.692163	4.523139	2.854768	2.128597
kfl00005_0110	4.496686	2.924982	2.44242	2.215277
kfl00005_0120	7.500288	6.420708	3.976967	4.643704
kfl00005_0130	0	0	0.529289	0
kfl00005_0140	0	0	0	0
kfl00005_0150	108.175919	92.636536	144.905746	151.355179
kfl00005_0160	1.433845	4.15739	4.262832	3.811849
kfl00005_0170	0	0	0	0
kfl00005_0180	8.845567	5.873586	7.688735	9.428157
kfl00005_0190	30.498383	23.298811	29.919653	30.387197
kfl00005_0200	4.856028	2.904101	4.073121	3.135473
kfl00005_0210	268.157928	263.67514	163.309143	171.584366
kfl00005_0220	13.185196	20.685534	25.037266	30.309139
kfl00005_0230	6.188882	6.469865	7.529467	6.753661
kfl00005_0240	0.432296	0	0.697036	1.488142
kfl00005_0250	0	0	0	0
kfl00005_0260	0	0	0	0
kfl00005_0270	0	0	0	0
kfl00005_0280	0	0	0	0
kfl00005_0290	10.979213	11.02774	14.41756	18.164345
kfl00005_0300	25.532644	26.954775	66.265579	60.440086
kfl00005_0310	28.668478	33.944931	16.391504	16.364689
kfl00005_0320	0	0	0	0
kfl00005_0330	14.059545	13.580069	46.165813	51.374241
kfl00005_0340	23.049761	16.374821	47.207882	49.114792
kfl00005_0350	0	0	0	0
kfl00005_0360	21.218353	16.740278	10.092079	8.95619
kfl00005_0370	0	0	0	0
kfl00005_0380	3.340628	3.586328	6.860271	6.781036
kfl00005_0390	6.970649	7.881367	4.714194	6.141675
kfl00005_0400	136.16745	124.832657	1211.309082	1234.30896
kfl00005_0410	0.072047	0.092242	0.159756	0.031518
kfl00005_0420	72.595688	78.025337	136.596268	144.211807
kfl00005_0430	13.707947	9.596627	11.546895	12.672834
kfl00005_0440	43.801128	38.462631	20.866575	15.431657
kfl00005_0450	13.404675	16.45602	7.67988	4.852695
kfl00005_0460	0	0	0	0
kfl00005_0465	0	0	0	0
kfl00005_0470	0	0	0	0
kfl00005_0480	154.192383	143.54071	175.262466	184.969833
kfl00005_0490	139.738083	92.783897	165.838455	166.126846
kfl00005_0500	283.627808	285.349365	51.706635	63.857796
kfl00005_0510	20.101324	22.129398	11.849753	11.199909
