geneID	LL_1	LL_2	HL_1	HL_2
kfl00002_0290	0.805314	0	0	0
kfl00002_0300	54.065926	39.718517	19.48966	15.377783
kfl00002_0310	18.745438	22.265308	11.789001	9.475895
kfl00002_0320	25.649164	17.942471	38.90419	42.968559
kfl00002_0330	49.850567	41.85144	146.44194	145.608505
kfl00002_0340	2.599408	2.5706	1.318845	0.611699
kfl00002_0350	5.868129	8.22859	7.579913	5.132111
kfl00002_0360	12.42919	12.728177	8.225398	9.793767
kfl00002_0370	141.720947	135.641861	37.539036	25.265411
kfl00002_0380	10.285043	10.017512	7.933123	8.688165
kfl00002_0390	26.942652	27.211708	47.129116	51.743572
kfl00002_0400	0	0	0	0
kfl00002_0410	0	0	0	0
kfl00002_0420	65.378029	66.094933	55.668686	55.294479
kfl00002_0430	48.036983	49.610909	51.137554	42.348564
kfl00002_0440	109.822769	113.953278	178.557526	183.684143
kfl00002_0450	7.614548	10.655699	6.128428	7.209322
kfl00002_0460	17.196503	19.458992	7.042562	6.299562
kfl00002_0470	5.284954	4.582364	6.373942	3.473018
kfl00002_0480	42.332355	34.354034	11.619109	11.411444
kfl00002_0490	37.166733	31.405167	35.215317	32.649334
kfl00002_0500	61.810925	51.794453	45.778305	55.516376
kfl00002_0510	22.283865	20.989883	28.402126	33.097813
kfl00002_0520	15.219517	25.963629	30.342869	26.712793
kfl00002_0530	46.157894	55.086998	142.366364	168.576431
kfl00002_0540	0	0	0	0
kfl00002_0560	18.445332	14.98349	35.313236	44.314934
kfl00002_0570	55.9883	64.573364	71.182442	69.800888
kfl00002_0580	56.99538	54.92662	80.871048	81.746262
kfl00002_0590	0	0	0	0
kfl00002_0595	2.415551	4.24503	1.882729	1.108009
kfl00002_0600	0	0	0	0
kfl00002_0605	0	0	0	0
kfl00002_0610	15.269175	13.554437	46.548012	45.232449
kfl00002_0620	29.441917	24.129581	22.182224	20.387835
kfl00002_0630	12.20637	11.642209	10.091275	9.565259
kfl00002_0640	5.403223	0	1.894061	4.84673
kfl00002_0650	15.892389	11.863855	7.550358	10.222221
kfl00002_0660	0	0	0	0
kfl00002_0670	52.281651	49.454029	21.577177	18.625568
kfl00002_0680	7.944254	10.357374	22.030542	25.348219
kfl00002_0690	10.893717	12.541825	7.860946	10.653349
kfl00002_0700	18.851177	14.830963	9.74908	14.361202
kfl00002_0710	66.832481	55.324745	49.931946	36.244705
kfl00002_0720	17.638823	23.556675	8.133892	10.100323
kfl00002_0730	6.119228	7.739016	3.961812	2.818367
kfl00002_0740	0.285508	0.076537	0	0.089449
kfl00002_0750	0	0	0	0
kfl00002_0760	0	0	0	0
kfl00002_0770	0	0	0	0
kfl00002_0780	0	0	0	0
kfl00002_0790	0	0	0	0
kfl00002_0800	0	0	0	0
kfl00002_g1	0	1.915469	1.398471	0
kfl00002_g17	0	0.718494	0.57988	0.477761
kfl00002_g30	0	0	0	0
kfl00002_g34	15.096088	11.471387	29.185688	34.315311
kfl00002_g40	0	0	0	0
kfl00002_g82	0	0	0	0
kfl00003_0010	0	0	0	0
kfl00003_0020	0	0	0	0
kfl00003_0030	8.373252	4.905252	6.462414	5.538611
kfl00003_0040	113.163803	93.442741	84.063217	72.953201
kfl00003_0050	3.494867	3.732577	3.145269	3.502933
kfl00003_0055	2.12145	2.857369	1.535807	2.120118
kfl00003_0060	5.558605	3.584568	0.685215	0
kfl00003_0070	28.943319	26.277798	42.679577	41.586559
kfl00003_0080	18.435076	21.941402	28.530451	26.984047
kfl00003_0090	16.287434	17.265911	2.694384	5.511953
kfl00003_0095	3.093323	0	0	0
kfl00003_0100	7.989776	6.625933	1.530971	0.740407
kfl00003_0110	20.709249	23.540548	39.826721	44.639496
kfl00003_0120	0	0	0	0
kfl00003_0130	17.52268	19.329699	3.085821	2.65719
kfl00003_0140	10.769189	9.44843	3.877851	6.975077
kfl00003_0150	8.583299	9.624246	6.372074	7.502805
kfl00003_0160	23.662313	17.698839	19.478842	20.485146
kfl00003_0170	29.959614	35.810684	26.372862	21.86515
kfl00003_0180	22.151642	22.487988	41.455994	44.30764
kfl00003_0190	0	0	0	0
kfl00003_0200	13.255769	5.301991	12.44031	11.950741
kfl00003_0210	85.770515	77.510773	45.399906	45.116127
kfl00003_0220	0	0	0	0
kfl00003_0230	0	0	0	0
kfl00003_0240	11.770164	11.408341	9.604644	12.135737
kfl00003_0250	4.963327	3.831098	4.350807	3.902406
kfl00003_0260	68.704559	64.426735	42.626785	44.152355
kfl00003_0270	38.323074	43.442661	25.877661	25.39518
kfl00003_0280	35.146114	21.916193	15.827824	13.194397
kfl00003_0290	181.532242	161.977982	142.68988	140.970459
kfl00003_0300	15.728024	9.319275	8.252687	6.126003
kfl00003_0310	13.185944	11.682404	6.779758	5.7723
kfl00003_0320	6.976508	6.034211	5.177727	6.153532
kfl00003_0330	0.720411223140496	0	0	0
kfl00003_0340	41.39946	45.864662	17.269459	15.45073
kfl00003_0350	10.325793	8.654918	8.581555	11.159862
kfl00003_0360	22.803608	21.902832	32.173477	30.676804
kfl00003_0370	25.096283	17.145182	15.708469	15.79098
kfl00003_0380	23.232803	24.782587	29.150097	31.031778
kfl00003_0390	0.343211	0.034287	0.193005	0.373149
kfl00003_0400	0	0	0	0
kfl00003_0410	2.571023	0.818188	0	2.864543
kfl00003_0420	0	0	0	0
kfl00003_0430	60.861198	61.754433	49.626888	46.714527
kfl00003_0440	1.54295	5.459811	0.874077	1.737072
kfl00003_0450	0	0	0	0
kfl00003_0455	0	0	0	0
kfl00003_0460	7.467824	8.474069	3.180273	3.209603
kfl00003_0470	21.316324	21.195303	14.405502	15.743766
kfl00003_0480	27.225012	30.140896	19.412083	10.412507
kfl00003_0490	6.788041	9.450837	3.910427	4.302838
kfl00003_0500	0	0	0	0
kfl00003_0510	26.484001	21.201946	29.814272	36.438221
kfl00003_0520	0	0	0	0
kfl00003_0530	5.47438433790113	4.41395173529922	6.21617689089332	7.39897181856028
kfl00003_0540	25.80192	19.937437	8.995418	9.607991
kfl00003_0550	18.380833	14.254872	12.580523	11.903369
kfl00003_0560	19.923748	9.049708	5.570235	4.857555
kfl00003_0570	2.016248	1.671879	6.481427	7.767489
kfl00003_0580	3.794384	0	4.823689	9.05681
kfl00003_0590	129.995132	143.695877	267.492035	288.564392
kfl00003_0600	43.332054	38.433399	94.982399	111.251038
kfl00003_0610	0	0	0	0
kfl00003_0620	0	0	0	0
kfl00003_0630	30.843092	31.7304	29.717758	30.899002
kfl00003_0640	16.55962	14.846251	3.356035	3.52354
kfl00003_0645	35.058407	31.136827	72.430016	88.791092
kfl00003_0650	12.947043	15.322804	13.468759	9.792327
kfl00003_0660	4.776773	4.55957	2.791088	4.65478
kfl00003_0680	8.818119	6.891726	7.104569	8.665601
kfl00003_0690	32.086845	29.060173	40.801849	42.270569
kfl00003_0700	61.354687	58.630352	52.987934	46.350571
kfl00003_0710	122.788322	128.78624	87.661522	87.61541
kfl00003_0720	104.354004	85.103401	82.775536	100.852676
kfl00003_0730	39.940357	30.571978	10.59924	14.641615
kfl00003_0740	8.675843	10.611374	23.530111	24.686794
kfl00003_0750	34.42057	27.571627	13.348021	11.056256
kfl00003_0760	4.695842	4.832969	0.763854	0.751712
kfl00003_0770	25.974407	24.372652	4.967791	4.8955
kfl00003_g25	0	0	0	0
kfl00004_0010	0	0	0	0
kfl00004_0020	10.269927	12.15457	11.372473	13.894654
kfl00004_0030	86.214531	69.940964	48.307446	44.834229
kfl00004_0040	10.158582	5.9749	11.272579	10.68129
kfl00004_0060	6.1205	5.447021	7.533535	9.399983
kfl00004_0070	7.922768	6.785041	3.141603	1.887519
kfl00004_0080	0	0	0	0
kfl00004_0090	0	0	0	0
kfl00004_0100	0	0	0	0
kfl00004_0110	0	0	0	0
kfl00004_0120	0	0	0	0
kfl00004_0130	34.062057	36.777256	46.65485	52.695942
kfl00004_0150	0	0	0	0
kfl00004_0160	1.002133	0.629833	0	0
kfl00004_0170	8.725643	11.861208	2.7363	2.291788
kfl00004_0180	0	0	0	0
kfl00004_0190	0	0	0	0
kfl00004_0200	21.830072	21.759531	7.430283	11.481861
kfl00004_0210	108.045067	111.931305	26.274456	26.356157
kfl00004_0220	10.410954	12.337694	60.300632	60.355434
kfl00004_0230	8.037289	5.205513	4.095183	3.763809
kfl00004_0240	0	0	0	0
kfl00004_0250	4.430057	6.499535	0	0
kfl00004_0260	3.393036	3.605276	2.52754	3.819285
kfl00004_0270	70.217201	68.178932	49.928246	54.523987
kfl00004_0280	12.192426	12.768934	5.01897	7.017223
kfl00004_0290	6.191218	5.895382	4.504435	4.353956
kfl00004_0300	22.654362	24.265684	11.15782	15.017239
kfl00004_0310	43.326103	36.82169	43.464016	46.689808
kfl00004_0320	24.854586	21.132212	16.222502	19.352964
kfl00004_0330	9.417717	8.939145	7.783373	7.037788
kfl00004_0340	8.855591	10.409264	6.505522	7.059203
kfl00004_0343	0	0	0	0
kfl00004_0346	0	0	0	0
kfl00004_0350	0	0	0	0
kfl00004_0360	0	0	0	0
kfl00004_0370	60.262123	51.542683	65.690308	66.517632
kfl00004_0380	3.090654	3.629011	0.924572	0.568869
kfl00004_0385	14.5265	16.370522	11.398376	16.482327
kfl00004_0390	4.751851	5.162799	6.412014	7.038866
kfl00004_0410	11.897165	12.62442	7.82858	6.952338
kfl00004_0420	6.965142	8.138282	2.19772	1.849623
kfl00004_0430	3.753166	2.55165	5.509625	5.260566
kfl00004_0440	0	0	0	0
kfl00004_0450	2.29634	2.399592	3.763837	4.09692
kfl00004_0460	0.464654	1.428068	2.06588	5.015186
kfl00004_0470	0	0	0	0
kfl00004_0480	0	0	0	0
kfl00004_0490	0	0	0	0
kfl00004_0500	4.995213	2.95498	25.880709	29.827919
kfl00004_0510	7.578662	8.698236	6.575392	10.094632
kfl00004_0520	9.134942	6.081704	7.140975	4.688862
kfl00004_0530	11.6333792544626	10.0613553563742	8.74163419015065	12.1107261187492
kfl00004_0540	3.284854	3.613474	5.9515	6.272082
kfl00004_0550	30.021791	24.216354	21.255163	22.569122
kfl00004_0560	0	0	0	0
kfl00004_0570	0	0	0	0
kfl00004_0580	1.844193	3.071287	3.411746	5.002296
kfl00004_0600	5.044683	0	2.441045	0
kfl00004_0610	0	0	0	0
kfl00004_0620	82.098274	73.468338	45.357491	46.677414
kfl00004_0630	28.132591	24.693495	31.053894	25.354727
kfl00004_g11	56.953724	47.827187	39.250412	43.257149
kfl00004_g60	9.955482	9.134007	10.097285	11.960478
kfl00005_0010	0	0	0	0
kfl00005_0020	2.723359	2.604942	0	0
kfl00005_0030	3.156137	3.11047	0.907068	0.994195
kfl00005_0040	1.529591	1.526487	0	0
kfl00005_0050	9.752389	14.329283	45.153259	45.495411
kfl00005_0060	61.869083	61.609684	36.522419	43.274967
kfl00005_0070	68.5187	75.732262	104.230995	98.44709
kfl00005_0080	0	0	0	0
kfl00005_0090	54.044868	45.554935	34.899303	33.572678
kfl00005_0100	6.426917	5.485491	2.805429	1.860584
kfl00005_0110	4.126467	2.944074	2.254973	2.287708
kfl00005_0120	7.81136	5.270095	3.738262	4.461678
kfl00005_0130	0	0	0.575383	0
kfl00005_0140	0	0	0	0
kfl00005_0150	107.421135	92.559319	146.639099	152.596542
kfl00005_0160	1.271415	4.268028	4.141875	3.806868
kfl00005_0170	0	0	0	0
kfl00005_0180	8.72776	5.452951	8.073895	8.85331
kfl00005_0190	29.755699	25.764103	30.020937	31.290707
kfl00005_0200	4.555096	3.05768	4.058755	3.041689
kfl00005_0210	269.338593	263.955902	163.276932	171.378204
kfl00005_0220	13.883498	21.005608	26.273411	30.386822
