geneID	control_1	control_2	high_light_1	high_light_2
kfl00001_0010	14.667269	12.70849	8.875455	11.856451
kfl00001_0030	93.746124	84.869942	87.631912	98.115822
kfl00001_0040	0	0	0	0
kfl00001_0050	0	0	0	0
kfl00001_0055	30.438534	24.87941	19.3734	13.371317
kfl00001_0060	220.80452	218.303757	161.100311	150.148636
kfl00001_0070	11.508533	13.833677	20.382175	19.585398
kfl00001_0080	21.133556	22.704731	14.596776	17.310688
kfl00001_0090	3.89028	5.297401	3.316909	6.834895
kfl00001_0100	0	0	0	0
kfl00001_0110	41.70433	37.104267	61.131824	62.875175
kfl00001_0120	162.302811	184.245148	146.203079	173.632645
kfl00001_0130	16.365108	11.672515	8.43174	10.151986
kfl00001_0140	33.631477	24.765188	20.128384	22.65589
kfl00001_0150	0	0	0	0
kfl00001_0160	4.74123	6.313551	0.761502	1.10755
kfl00001_0170	4.704781	8.709531	2.39457	1.146618
kfl00001_0180	11.652604	9.577621	11.417524	14.692072
kfl00001_0190	16.393311	17.476511	6.900826	8.159705
kfl00001_0200	25.041046	21.170902	21.565533	17.571159
kfl00001_0210	9.499796	9.590836	1.304912	3.838157
kfl00001_0220	47.55439	29.412783	34.447742	31.639793
kfl00001_0230	5.048465	5.773653	5.878874	7.979555
kfl00001_0240	62.537792	65.546532	47.486404	46.294533
kfl00001_0250	11.605498	22.905394	6.994312	5.844689
kfl00001_0260	7.501067	10.759215	0	3.89271
kfl00001_0270	3.267619	2.744536	2.727659	2.419394
kfl00001_0280	12.586647	13.8894	8.694006	6.35712
kfl00001_0290	17.502869	15.396264	12.249883	12.148344
kfl00001_0300	8.081371	8.277744	10.568247	7.546134
kfl00001_0310	0	0	0	0
kfl00001_0320	3469.795654	3300.457031	2245.307617	2353.206543
kfl00001_0330	8.521391	7.645057	2.984769	2.284091
kfl00001_0340	63.879044	58.031231	50.709454	59.297871
kfl00001_0350	8.722091	7.461374	9.788031	8.609701
kfl00001_0360	16.246506	11.625892	14.909812	22.725321
kfl00001_0370	12.909644	17.407431	7.954014	6.421875
kfl00001_0380	14.050664	13.789582	23.710321	30.830141
kfl00001_0390	13.610447	14.772188	6.342358	10.113023
kfl00001_0400	7.140474	4.146245	6.795215	8.155986
kfl00001_0410	6.027601	3.585507	0	1.516947
kfl00001_0420	70.481346	56.897606	46.977257	57.091118
kfl00001_0430	3.627857	2.00535	4.183173	3.027375
kfl00001_0440	22.970509	25.142204	22.245369	15.752311
kfl00001_0450	31.501152	33.616203	20.523684	18.724936
kfl00001_0460	24.883957	24.178886	23.095493	26.056038
kfl00001_0470	30.188589	37.463467	16.826214	17.885054
kfl00001_0480	9.191665	10.617397	2.545164	3.862466
kfl00001_0490	13.816258	13.266114	5.340282	3.751641
kfl00001_0500	109.731606	101.355362	80.032928	81.727249
kfl00001_0510	4.404987	10.385044	15.627935	11.762117
kfl00001_0520	9.142006	9.888298	6.59549	9.327564
kfl00001_0530	0	0	0	0
kfl00001_0540	0	0	0	0
kfl00001_0550	10.13901	17.061958	0	8.17327
kfl00001_0560	14.882646	22.866871	8.349785	13.030725
kfl00001_0570	0.961458	1.087939	0.142299	0.409337
kfl00001_0580	10.749817	13.97842	18.411757	11.751674
kfl00001_0590	28.994234	22.114418	10.69667	11.914153
kfl00001_0600	8.974637	11.236937	2.593714	4.283872
kfl00001_0610	13.615129	14.718883	5.799356	6.547953
kfl00001_0620	1614.822998	1622.317871	1421.679932	1370.050049
kfl00001_0630	0	0	0	0
kfl00001_0640	2.384526	2.660391	3.104753	4.016278
kfl00001_0650	75.235977	72.103264	61.451187	53.064693
kfl00001_0660	14.165833	10.192926	10.545928	11.693786
kfl00001_0670	11.893114	9.086859	16.108652	18.205589
kfl00001_0680	0	0	0	0
kfl00001_0690	4.087421	3.044637	0	0
kfl00001_0700	1.402683	3.759297	0	1.175662
kfl00001_0710	13.645964	12.990088	10.594524	13.484037
kfl00001_0720	2.782678	2.564501	1.184123	1.142966
kfl00001_0730	48.006157	50.217258	42.612263	52.087139
