"","HL_1","HL_2","HL_3","HL_4","LL_1","LL_2","LL_3"
"neoxanthin",1.04805402930403,0.833104395604396,0.876144688644689,1.06742216117216,1.16071428571429,0.866185897435897,0.973099816849817
"violaxanthin",0.205207274766093,0.20836107509549,0.214773802431931,0.216771209307215,1.08290990643726,0.974524301783649,0.942565791779094
"antheraxanthin",3.47249190938511,3.4546925566343,3.44336569579288,3.37378640776699,0.545307443365696,0.925566343042071,1.52912621359223
"lutein",1.14969325153374,1.16508644729504,1.18081427774679,1.17467930842164,1.05097601784718,0.98851087562744,0.960513106525377
"zeaxanthin",43.47,40.79,41.82,39.93,1,1,1
"chlorophyll-a",1.0849114408808,1.08677836285304,1.06101483963619,1.08743896601245,0.995356629966491,0.976428913355673,1.02821445667784
"chlorophyll-b",1.03549848942598,0.95757804632427,0.951724572004028,1.0448136958711,1.04443605236657,0.960347432024169,0.995216515609265
"A-carotene",0.867517956903432,0.911412609736632,0.94732641660016,0.816440542697526,1.05107741420591,0.999201915403033,0.949720670391061
"B-carotene",1.00305701692023,1.01094838617944,1.0186264751884,0.994099246409782,1.0815441490118,0.943338546850562,0.975117304137637
