"","LL_1","LL_2","LL_3","LL_4","LL_5","LL_6","HL_1","HL_2","HL_3","HL_4","HL_5","HL_6"
"ABA",0.905161729076816,1.10950418294655,0.985334087976632,1.19392139675786,0.983755616036176,0.822322987205965,1.13127565883381,0.884106144332453,1.0554641217389,0.399462797299108,0.431970714793652,0.727902388139719
"Salicylic",1.10570900548122,0.839845136864781,1.054445857654,0.805318951786853,1.19787243781959,0.996808610393562,0.862169190654659,1.00555304775477,1.01008158693638,1.24964731956755,0.818984343387823,1.04654858790577
"ICA",0.916778372569219,0.858769975467118,1.22445165196366,1.01140733265788,1.08493447439805,0.903658192944077,1.33180721590317,1.38775776066797,1.02970958374127,0.801518624456128,0.949552747126146,1.26138770544845
"GABA",0.654210782666182,1.62144916708959,0.724340050244229,1.06339356131544,1.09421750449344,0.842388934191128,1.10146282264034,0.355993638128608,0.94285735336862,0.949778751110264,0.925779930760741,1.26411520160256
"IAA",0.804802722824188,1.10676417616039,1.08843310101542,0.900339214462224,1.22966976815934,0.869991017378438,4.25734699287836,2.1670497094887,3.73402615520089,1.70140315534227,3.46095132151042,4.27835618668134
